Main_Atlas_Number,Main_Display_Name,Investigations_Summary,Related_Investigations
3912,"Belton House, East Lothian",Photographed by RCAHMS Aerial Survey Programme in 1991 and 1999,1st Identified Written Reference (1991); Other (2000); Other (2013)
3913,"The Chesters, Spott, East Lothian","Photographed by CUCAP in 1948, 1955, 1968, 1969, 1971, 1975 and 1980, by Dennis Harding in 1979, and RCAHMS Aerial Survey Programme in 1977, 1978, 1980, 1982, 1988, 1998, 1999, 2000, 2008, 2013 and 2015",1st Identified Map Depiction (1773); Other (1853); Other (1893); Other (1913); Other (1954); Other (1966); Other (1993)
3914,"Spott Dod, East Lothian",NA,1st Identified Written Reference (1977); Excavation (1983); Other (1993)
3915,"Pinkerton, East Lothian",Photographed by CUCAP in 1962 and by RCAHMS Aerial Survey Programme in 1976,1st Identified Written Reference (1962)
3916,"Spott Mill, East Lothian","Photographed by CUCAP in 1980, and RCAHMS Aerial Survey Programme in 1977, 1978, 1981, 1980, 1986, 1988 and 2000",1st Identified Written Reference (1977); Other (1993)
3917,"Bell Craig, East Lothian (Bell Craig, Spott)","Photographed by RCAHMS Aerial Survey Programme in 1981, 1993, 1999 and 2000",1st Identified Written Reference (1981); Other (1993)
3918,"Whittingehame Castle, East Lothian (Whittingehame Tower)",Photographed by RCAHMS Aerial Survey Programme in 1983 and 1998,1st Identified Written Reference (1983); Other (1994); Geophysical Survey (2000); Excavation (2002)
3919,"Shooters Hill, Greater London Authority",Resistance Magnetic and GPR surveys carried out in 2007 prior to a Time Team excavation.,Geophysical Survey (2007); Excavation (2007)
3920,"Birks Plantation, East Lothian",NA,1st Identified Written Reference (1999)
3921,"Auldhame, East Lothian (Seacliff Harbour; Seacliffe)",NA,1st Identified Written Reference (1989); Other (1996); Excavation (2005); Excavation (2008); Other (2011)
3922,"Hobbs Hill, Buckinghamshire",Citizen Science plan and description,Other (2015)
3923,"Pinkerton Hill, East Lothian (Meikle Pinkerton)","Photographed by RCAHMS Aerial Survey Programmein 1976, 2006 and 2015",1st Identified Written Reference (1968); Other (1993)
3924,"Thorntonloch, East Lothian (Thornton Burn)","Photographed by John Dewar in 1975 (held by RCAHMS), and by RCAHMS Aerial Survey Programme in 1978, 1979 and 1995",Earthwork Survey (1919); Other (1924); Other (1966)
3925,"Glen Cottage, East Lothian (Dryburn)","Photographed by CUCAP in 1948, 1962 and 1976, and by RCAHMS Aerial Survey Programme in 1976, 1981, 1993, 1994, 1998, 2003, 2006, 2014 and 2015",1st Identified Written Reference (1948); 1st Identified Map Depiction (1966); Other (1993)
3926,"Glen Cottage, East Lothian (Dryburn)","Photographed by CUCAP in 1948, 1962 and 1976, and by RCAHMS Aerial Survey Programme in 1976, 1981,  1994, 1998, 2006, 2014 and 2015",1st Identified Written Reference (1948); Other (1966); Other (1993)
3927,"Blackcastle Hill, East Lothian",Photographed by CUCAP in 1969 and by RCAHMS Aerial Survey Programme in 1992 and 2008,1st Identified Map Depiction (1773); 1st Identified Written Reference (1791); Other (1853); Earthwork Survey (1913); Other (1954); Other (1966); Other (1977)
3928,"Innerwick Castle, East Lothian","The ruins of the castle have been long recorded (see RCAHMS Canmore 58912; Grose 1789-91, i, 91-2; MacGibbon and Ross 1887-92, iii, 325-8; RCAHMS 1924, 53-6, no.87) and were Scheduled in 1936 (SM773). Photographed by CUCAP in 1964, 1967 and 1971, and by RCAHMS Aerial Survey Programme in 1978, 1980, 1988 and 1990",1st Identified Written Reference (1964); Other (1993)
3929,"Glen Cottage, East Lothian (Dry Burn)","Photographed by CUCAP in 1962 and 1975, and by RCAHMS Aerial Survey Programme in 1976, 1981, 1989, 1994, 1995, 2003, 2006, 2009, 2014 and 2015",1st Identified Written Reference (1962); Other (1993)
3930,"Branxton Cottage, East Lothian (Black Castle Cottage)","Photographed by CUCAP in 1971 and by RCAHMS Aerial Survey Programme in 1983, 1984 and 1994",1st Identified Written Reference (1971); Other (1994)
3931,"Harp Law, East Lothian",NA,1st Identified Written Reference (2010)
3932,"Traprain Law, East Lothian (Dumpender Law)","While depicted as a topographical feature on a succession of county maps dating from the 18th century, and identified as an ancient place of refuge in the Statistical Account (ii, 1792, 349-50), Traprain Law is not shown as a fort on either the 1st or 2nd edition of the OS 6-inch map. The finds from the numerous interventions on the hill are held in the NMAS and the RCAHMS collection also holds an extensive archive of notes and drawings, together with plans and numerous ground and excavation views as well as extensive oblique aerial photography under a wide range of conditions.",1st Identified Written Reference (1792); 1st Identified Map Depiction (1906); Earthwork Survey (1914); Excavation (1914); Excavation (1915); Excavation (1919); Excavation (1920); Excavation (1921); Excavation (1922); Excavation (1923); Other (1923); Other
3933,"Hadley Wood, Greater London Authority","First identified in 1913 and reported in 1922 (Taylor 1922). Excavations in 1952-3, 1973, 1983. Surveyed by Hendon and District Archaeological Society (HADAS) in 1983",1st Identified Written Reference (1922); Excavation (1973); Earthwork Survey (1983); Excavation (1983); Excavation (1952-1953)
3934,"Carfrae, Scottish Borders (Carfraegate)","Photographed by RCAHMS Aerial Survey Programme in 1981, 1983, 1984, 1991, 1995 and 1996",1st Identified Map Depiction (1755); Other (1826); Other (1853); Other (1894); Other (1908); Earthwork Survey (1912); Other (1975)
3935,"Damerham, Hampshire","St Joseph aerial photo only - ANB 82. Shows as short length of earthwork on the 1:25,000 OS map (1961).",1st Identified Map Depiction (1961); Other (None-None)
3936,"Headshaw, Scottish Borders","Photographed by RCAHMS Aerial Survey Programme in 1976, 1983, 1990, 1995 and 1997",1st Identified Written Reference (1951); Other (1975); Other (1976)
3937,"Kirktonhill, Scottish Borders","Photographed by CUCAP in 1974, 1977 and 1981, and RCAHMS Aerial Survey Programme in 1981, 1995, 1996 and 1998",Earthwork Survey (1769); Other (1853); Other (1894); Excavation (1897); Other (1908); Earthwork Survey (1912); Excavation (1922); Other (1975); Other (1989)
3938,"Worlebury Camp, North Somerset","Plan of Worle Hill encampment Publisher: Surveyor 1851. On OS Town Plan 1:500 of Weston-super Mare 1886.  On 1st Ed. OS 1:2500 map (1888). Excavation C.W. Dymond and H.G. Tomkins, 1851-2. Excavation C.W. Dymond 1880-1. Excavation Woodspring Museum, Weston-super-Mare 1987-8. Avon Extensive Urban Study team assessment 1998. Air Photograph Interpretation Gloucestershire County Council: Severn Estuary NMP, Rapid Coastal Zone Assessment Survey 2006-08.",1st Identified Map Depiction (1851); Other (1886); Other (1888); Other (1980); Other (1998); Excavation (1851-1852); Excavation (1880-1881); Excavation (1987-1988); Other (2006-2008)
3939,"Wain's Hill, North Somerset","On 1st Ed. OS map 1884-5. Field Investigation RCHME, N.V. Quinell 1987. Desk based assessment Clevedon Extensive Urban Survey 1998. Air Photograph Interpretation Gloucestershire County Council: Severn Estuary NMP, Rapid Coastal Zone Assessment Survey 2006-08. Geophysical survey 2005, Cleat Comm. Arch. Group.",Other (1987); Other (1998); Geophysical Survey (2005); 1st Identified Map Depiction (1884-1885); Other (2006-2008)
3940,"Cadbury Hill Camp, Congresbury, North Somerset (Cadbury, Congresbury; Cadcong)","On 1st Ed. OS map (1884-5). Excavation K.S. Gardner 1959. Excavations by P.J. Fowler, K.S. Gardner and P.A. Rahtz, 1968, 1970-4.  Surveys by Yatton Congresbury Claverham and Cleeve Archaeological Trust (YCCCART) local group of amateur archaeologists working under North Somerset archaeologist Vince Russett.",Excavation (1959); Other (1980); 1st Identified Map Depiction (1884-1885); Excavation (1968-1974); Other (2001-2017)
3941,"Overhowden, Scottish Borders","Photographed by RCAHMS Aerial Survey Programme in 1976, 1980, 1983, 1986 and 1989. Infra-Red Linescan images were also recorded by the RAF in 1994",1st Identified Map Depiction (1897); 1st Identified Written Reference (1897); Other (1909); Earthwork Survey (1912); Other (1952); Other (1975)
3942,"Norsey Wood, Essex",N/A as not a hillfort,NA
3943,"Camulodunum, Essex",N/A as not a hillfort,NA
3944,"Skitt's Hill Camp, Essex (Braintree; Mount House)",N/A as not a hillfort,NA
3945,"Hougham Without, Kent",N/A as not a hillfort,NA
3946,"Bowerhouse, Scottish Borders (Nether Bowerhouse)","Photographed by RCAHMS Aerial Survey Programme in 1976, 1980, 1983, 1986 and 1989. Infra-Red Linescan images were also recorded by the RAF in 1994",1st Identified Map Depiction (1853); Other (1894); Other (1900); Other (1908); Earthwork Survey (1912); Other (1936); Other (1952); Other (1975)
3947,"Kirktonhill, Scottish Borders",NA,1st Identified Written Reference (1980)
3948,"Cadbury Castle, South Cadbury, Somerset (South Cadbury; South Cadbury Castle)","Associated in legend with King Arthur attracted attention from Tudor times with John Leland 1542 calling the site 'Camallate', and drawn by William Stukely 1723. On 1st Ed. OS map (1887). First formal plan by C.W. Dymond 19th century. Excavations began 19th century by Rev. J.A. Bennett, with later H. St George Gray opening five trenches 1913. Camelot Research Committee founded 1965 and geophysics and excavations by Leslie Alcock 1966-70 and 1973. South Cadbury Environs Project of survey, test pits and targetted excavation and geophysics from 1992 to c. 2010.     1800- 1899 Excavation CADBURY CASTLE Nothing is known of the whereabouts of the archive or finds. Director of fieldwork REVEREND MR J A Bennett  Publications : Reference Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 36/1890/2:1-19 PASSIM  Note Virtual Catalogue Entry to support E.I. Migration ALCOCK,L./1972/BY SOUTH CADBURY IS THAT CAMELOT ../20  1913 Excavation CADBURY CASTLE  Finds Holder Somerset County Museum Taunton Director of fieldwork H St G Gray Auspices Somerset Archaeological and Natural History Society Archive Holder Somerset Archaeological and Natural History Society  Publications : Full report Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 59/1913/2:1-24  1966- 1973 Excavation CADBURY CASTLE, SOUTH CADBURY Excavation undertaken between 1966 and 1970, with a return to the site to cut back the face of an existing section in 1973. Archive to go to Somerset CRO after final report published. ( Presently with University of Glasgow 1991). Work included soil conductivity survey.  Auspices Cadbury Research Committee Funding Body/Financier University of Wales Cardiff Archaeology Department Archive Holder University of Glasgow Finds Holder Somerset County Museum Taunton Finds Holder L Alcock Director of fieldwork L Alcock Funding Body/Financier British Academy Funding Body/Financier Society of Antiquaries London Archive Holder L Alcock  Publications : Reference Bulletin of the Board of Celtic Studies 28/1980/656-718  Full report Cadbury Castle Somerset: The later prehistoric and early historic archaeology by J C Barrett, P W M Freeman & A Woodward English Heritage archaeological reports  Full report Cadbury Castle, Somerset : the early medieval archaeology by Leslie Alcock, in collaboration with S J Stevenson and C R Musson by L Alcock (1995)  Note English Heritage archaeology review /1991-2/43-4  Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 136/1992  Interim report Virtual Catalogue Entry to support E.I. Migration ALCOCK,L./1972/By South Cadbury is that Camelot ...  1973 Excavation CADBURY CASTLE Archive to go to Taunton Museum after publication of final report. Finds Holder L Alcock Director of fieldwork L Alcock Archive Holder L Alcock Auspices Cadbury Research Committee  Publications : Full report Bulletin of the Board of Celtic Studies 28/1980/4:656-718  Reference Cadbury Castle, Somerset : the early medieval archaeology by Leslie Alcock, in collaboration with S J Stevenson and C R Musson by L Alcock (1995), pp 10-12  Note English Heritage archaeology review /1991-2/43-4  1992- 1993 Geophysical Survey CADBURY CASTLE AML Survey Database Reference Nos: 985, 986 Survey Type: Resistivity: recorded grid Survey Type: Magnetometer: recorded grid Survey to provide alternative data to soil conductivity (SCM) survey of 1966-70 (see Event 634955). The earlier survey results were shown to be incomplete, but it was still considered impossible to postulate a 'town plan' for the hillfort in any particular period. See Event 1007366 for associated earthwork survey. Auspices University of Glasgow Department of Archaeology Archive Holder University of Glasgow Department of Archaeology  Publications : Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 136/1992  Full report Virtual Catalogue Entry to support E.I. Migration Johnson P G/1993/Cadbury Castle, Somerset: geophysical surveys 1992-93.  1993 Measured Survey RCHME: South Cadbury South Cadbury Castle and its immediate environs were surveyed by staff from RCHME Exeter in 1993 in response to a request from English Heritage and the University of Glasgow Dept of Archaeology. The survey and field report will feature in the forthcoming publication of the prehistoric and Roman material from the 1966-70 & 1973 excavations. The site was surveyed during the winter and spring of 1993. At the time of the survey, the interior and southern defences of the hillfort were under pasture, while the northern, western and eastern defences had a cover of woodland and, in places, dense scrub. See Event 1124927 for associated geophysical survey.  Publications : Full report Royal Commission on the Historical Monuments of England [assessment & evaluation reports] Riley H & Dunn C J/1993/South Cadbury Castle, Somerset: A new earthwork survey by the Royal Commission on the Historical Monuments of England.  1995- 1999 Excavation MILSOM'S CORNER, SUTTON MONTIS (SOUTH CADBURY ENVIRONS PROJECT) Excavation of an area c.422m sq followed gradiometer survey (EHGSDB Visit No: 1695) and fieldwalking. The earliest feature appears to be a line of pits along the crest of the ridge containing pottery of styles recorded at Windmill Hill and Hembury. A hiatus ensued prior to the construction of a ?Beaker rectilinear ditched enclosure, followed by intensive Iron Age occupation with circular buildings and a trackway. The site lies just below the south-west gate of Cadbury Castle. Those involved in the investigation included students from Bristol University Dept. Archaeology. CBA South West Journal 3 refers to the site as an 'undergraduate training excavation'. Finds Holder Somerset County Museum Taunton Auspices Birmingham University Field Archaeology Unit Auspices University of Glasgow Auspices South East Somerset Archaeological Society Director of fieldwork Peter Leach  Publications : Reference Archaeology South West [the journal of Council for British Archaeology - South West] 3/1999  Interim report Archaeology South West [the journal of Council for British Archaeology - South West] 4/2000  Interim report Birmingham University Field Archaeology Unit [archaeological evaluation reports] 457/1996  Full report Birmingham University Field Archaeology Unit [archaeological evaluation reports] Leach P & Tabor R/1995/The South Cadbury Environs Project, Fieldwork Report 1995. Report No 374.  Interim report Birmingham University Field Archaeology Unit [archaeological evaluation reports] Leach P & Tabor R/1998/The South Cadbury Environs Project: field report 1997.  Journal article Current archaeology No 163/June 1999  Interim report Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 139/1996  Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 140/1997  Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 141/1998  Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 142/1999  Note Somerset archaeology and natural history : the proceedings of the Somersetshire Archaeological and Natural History Society 143/2001  Journal article Somerset Archaeology: Papers to mark 150 years of the Somerset Archaeological and Natural History Society C J Webster (ed)  Journal article The archaeologist Institute of Field Archaeologists 40/Spring 2001 (Excavation/preservation of BA shield)",1st Identified Written Reference (1542); Other (1723); 1st Identified Map Depiction (1887); Excavation (1913); Other (1980); Earthwork Survey (1993); Other (2016); Geophysical Survey (1966-1973); Excavation (1966-1973); Other (1992-10); Geophysical Survey
3949,"Huntshaw, Scottish Borders","Photographed by CUCAP in 1961, 1964 and 1972, and by the RCAHMS Aerial Survey Programme in 1979, 1980, 1983, 1984, 1993, 1994, 1997, 1998, 1999 and 2000",Other (1870); 1st Identified Written Reference (1921); Other (1956); Other (1961)
3950,"Horton Camp, South Gloucestershire (The Castles)","In Aubrey's Monumenta Britannica (1665-1693). Reference by Samuel Rudder 1779. Reference by T. Baker 1821. On 1st Ed. OS map (1882). Field investigations 1962, 1977 - no details. English Heritage field visit 1984. Geophysical survey M. Papworth National Trust 1998. LiDAR survey Citizen Science information 2015.",Other (1821); 1st Identified Map Depiction (1882); Other (1984); Geophysical Survey (1998); LiDAR Survey (2015); 1st Identified Written Reference (1665-1693); Other (1962-1977)
3951,"Camp Hill, South Gloucestershire (Rockhampton)",On 1st Ed. OS map (1881). Field investigation 1970 - no details. Features mapped from Environment Agency LiDar remote sensing data and aerial photographs taken in 2010.,1st Identified Map Depiction (1881); Other (1970); LiDAR Survey (2010)
3953,"Knole Park Camp, South Gloucestershire",Site on 1st Ed. OS map (1881). Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.,1st Identified Map Depiction (1881); Other (2013-2016)
3954,"Abbey Camp, Alveston, South Gloucestershire (Little Abbey Camp; Castle Camp)","On Ordnance Surveyors Drawings Chipping Sodbury 1816. (1812) and OS One Inch map (1830) as a complete enclosure, bisected by main A38 (and Abbey Lane in 1830, though now shown to W of hillfort on all other maps). Not on 1st Ed. OS 1:2500 map (1881) or 2nd Ed (1903). Field investigation 1962 - no details. Watching Brief for water pipe trench T.W.J. Solley 1982. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.  LiDar survey - Environment Agency 2006?.",1st Identified Map Depiction (1812); Other (1830); Other (1962); Other (1982); LiDAR Survey (2006); Other (2013-2016)
3955,"Elberton Camp, South Gloucestershire (Oldown Settlement)",On 1st. Ed. OS map (1881). Field investigation 1962. LiDar Environment Agency 2006. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.,1st Identified Map Depiction (1881); Other (1962); LiDAR Survey (2006); Other (2013-2016)
3957,"Bloody Acre, South Gloucestershire",On 1st Ed.OS map (1880). Field investigation 1970 - no details. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.,Other (1880); Other (1970); Other (2013-2016)
3958,"Dyrham Camp, South Gloucestershire (Talbot Farm; Barhill Camp; Burrills Camp; Burrell's Camp; Hinton Hillfort)","In Aubrey's Monumenta Britannica (1665-1693). On various maps including Isaac Taylor's map of 1786 as Barhill Camp and Tithe Award map of 1841 as Burrills Camp. On 1st Ed. OS map (1881-87). Field investigations 1962, and 1969 with trial excavation - no details. Trial excavation 1969. Earthwork and geophysical survey for thesis P. Abbot 2006.",1st Identified Map Depiction (1786); Other (1841); Excavation (1969); Earthwork Survey (2006); Geophysical Survey (2006); 1st Identified Written Reference (1665-1693); Other (1881-1887)
3959,"Old Sodbury Camp, South Gloucestershire (Sodbury Camp)",In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1882). Field investigation 1977 - no details.,1st Identified Map Depiction (1882); Excavation (1977); 1st Identified Written Reference (1665-1693)
3960,"Sodbury Camp, Barnhill Quarry, South Gloucestershire",Field investigation 1962 - no details. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.  LiDAR survey S. Adams 2015.,Other (1962); LiDAR Survey (2015); Other (2013-2016)
3961,"Bury Hill, Winterbourne, South Gloucestershire (Bury Hill, Moorend; Winterbourne Bury Hill)",Mentioned by Sir Robert Atkyns 1768. On Isaac Taylor's map of 1777. On 1st Ed. OS map (1882). Excavation C.B. Phillips and J.A. Davies 1926; most of archive destroyed in WWII. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16. LiDAR and geophysics S. Adams 2015.,1st Identified Written Reference (1768); 1st Identified Map Depiction (1777); Excavation (1926); Geophysical Survey (2015); LiDAR Survey (2015)
3962,"Berwick, Bath and NE Somerset (Berewyke; Berewyck,)","Mention by Collinson 1791. 'Camp' with strong 'vallum' mentioned by Phelps 1836. Reference by Rev J. Skinner held in British Museum Add manuscripts 33669 f 11. Mention by H.M. Scarth 1855, 1876. Field investigation 1966 - no details.",1st Identified Written Reference (1791); Other (1836); Other (1966); Other (1855-1876); Other (1801-1832); LiDAR Survey (None-None)
3963,"Little Solsbury Hill Camp, Bath and NE Somerset (Solsbury Hill, Batheaston; Little Solisbury Camp)","In Aubrey's Monumenta Britannica (1665-1693) and by J. Collinson as Salisbury Hill 1791. On 1st Ed. OS map (1888). Excavation W.A. Dowden 1955, 1956, 1958. Air Photograph Interpretation RCHME: Air Photograph Primary Recording Project 1992-96. 2012 geophysics.",1st Identified Map Depiction (1888); Geophysical Survey (2012); 1st Identified Written Reference (1665-1693); Excavation (1955-1958); Other (1992-1996)
3965,"Highbury Hill, Bath and NE Somerset",Mention Rev. J. Skinner early 19th century. Field investigation 1965 - no details. Re-discovered by P. Fowler (after Rev. J. Skinner) 1972. LiDAR survey Citizen Science information 2014.,Other (1965); Other (1972); LiDAR Survey (2014); 1st Identified Written Reference (1801-1832)
3967,"Stantonbury Camp, Bath and NE Somerset","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1885). Field investigations 1961, 1965 - no details. Evaluation R. Iles Bristol Archaeological Research Group 1984.",1st Identified Map Depiction (1885); Other (1980); Other (1984); 1st Identified Written Reference (1665-1693); Other (1961-1965)
3968,"Little Down Camp, Bath and NE Somerset",On 1st Ed. OS map (1884). Unpublished excavation by Mr Gardner of Kingswood School and F. A. Shore - no date.,1st Identified Map Depiction (1884); Excavation (None-None)
3969,"South Stoke, Bath and NE Somerset","Possible published source referring to the site as an encampment or gear (gaer, caer), by Rev. John Skinner Diary 1828/9, The British Library. First investigated as part of Atlas project by South Stoke History Committee and Bath and Camerton Archaeological Society 2014. Earthwork survey and geophysics (Lambdin 2002). LiDAR survey Citizen Science information.",Earthwork Survey (2002); Geophysical Survey (2002); Other (2014); LiDAR Survey (2014); 1st Identified Written Reference (1828-1829)
3970,"Maes Knoll Camp, Bath and NE Somerset (Maes Knoll Tump; Maesknoll Tump; Maes Tump)","In Aubrey's Monumenta Britannica (1665-1693). On 1st Ed. OS map (1885). Two small test pits to find dating evidence by K.J. Barton and P.A.Rahtz 1958. Field investigation 1962 - no details. Geophysical survey to investigate the suggestion that Wansdyke continued into the hillfort, as part of the West Wansdyke Avon Management Study, AML Survey 1995. LiDAR survey Citizen Science information 2014.",1st Identified Map Depiction (1885); Excavation (1958); Other (1962); Other (1980); Geophysical Survey (1995); LiDAR Survey (2014); 1st Identified Written Reference (1665-1693)
3971,"Burledge, Bath and NE Somerset (Burledge Hill; Burledge Common)","Shown by Strachey on Map of Somerset 1736. Mentioned by Stukeley in 'Itinerarium Curiosum' 1776, 77-9 as 'Bow Ditches'. Part excavation by H.M. Apsimon 1955. Field investigations 1959, 1966 - no details. Mendip Hills AONB NMP 2006-09. LiDAR survey Citizen Science information 2014.",1st Identified Map Depiction (1736); 1st Identified Written Reference (1776); Excavation (1955); LiDAR Survey (2014); Other (1959-1966); Other (2006-2009)
3972,"Tunley Camp, Bath and NE Somerset","Field investigations 1955, 1965 - no details. On OS 1:25,000 map (1958).",1st Identified Map Depiction (1958); Other (1955-1965)
3973,"The Castle, Tytherington, South Gloucestershire (Castle Hill; Tytherington Hillfort)",On 1st Ed. OS map (1881). Field investigation 1962 - no details. Aerial photograph interpretation Severn Vale National Mapping Project English Heritage 2013-16.,1st Identified Map Depiction (1881); Other (1962); Other (2013-2016)
3974,"Backwell, North Somerset",Discovered from air and investigated on the ground in 1933.,Other (1933)
3975,"Banwell Camp, North Somerset",On 1st Ed. OS map (1885). Partial excavations by J.E. Pritchard 1900-02 and by J. Hunt 1958.,Other (1885); Excavation (1958); Excavation (1900-1902)
3976,"Tap's Combe Camp, North Somerset",None recorded.,NA
3977,"Burrington Camp, North Somerset","MSS referring to Dolebury Camp, Burrington Camp and earthworks at Priddy by John Strachey (1671-1743). On 1st Ed. OS map (1885). Excavation University of Bristol Speleological Society 1948. Excavation E.K. Tratman, University of Bristol Speleological Society 1960. Air Photograph Interpretation English Heritage: Mendip Hills AONB NMP 2006-09. Measured survey English Heritage 2007.",1st Identified Map Depiction (1885); Excavation (1948); Excavation (1960); Other (2007); 1st Identified Written Reference (1601-1800); Other (2006-2009)
3978,"Dolebury Camp, North Somerset (Doleburry Warren; Rowbarrow; Dolbury Camp)","In Aubrey's Monumenta Britannica (1665-1693). In Collinson History of Somerset 1791. Mention in Rutter 1829.  On 1st Ed. OS map (1885).  Survey by R. and N. Hollinrake on behalf of Natural Trust 1985. Air Photograph Interpretation English Heritage: Mendip Hills AONB NMP 2006-09. Measured survey M. Bowden, English Heritage.",Other (1829); 1st Identified Map Depiction (1885); Other (1985); Other (2008); 1st Identified Written Reference (1665-1693); Other (2006-2009)
3979,"Dinghurst Camp, North Somerset",On 1st Ed. OS map (1885).,1st Identified Map Depiction (1885)
3980,"Cleeve Toot Camp, North Somerset","On OS 1:25,000 map (1959). Field investigation 1976 - no details.",NA
3982,"Tinker's Batch, North Somerset (Elborough Hill)",Field investigation 1965 - no details. LiDar survey 2006 - no details.,Other (1965); LiDAR Survey (2006)
3983,"Stokeleigh Camp, North Somerset","Menton W. Barrett 1789 and S. Seyer 1821. Plan G.W. Manby 1802. On 1st Ed. OS map (1886). Filed investigations 1962, 1965 - no details. Excavation J.W. Haldane University of Bristol Speleological Society 1966-71.",1st Identified Written Reference (1789); Other (1802); Other (1821); 1st Identified Map Depiction (1886); Other (1962-1965); Excavation (1966-1971)
3984,"Burgh Walls Camp, North Somerset (Burwalls Camp; Bower Walls Camp; Burgh Walls; Bowre Walls; Borough Walls)","Water colour by S.H. Grimm 1789 in Somerset. Arch. Soc. library. Sketch plan W. Barrett 1789. Antiquarian mentions: S. Seyer 1821; W. Phelps, 1836. Field investigations 1962, 1965 - no details.",Other (1789); 1st Identified Map Depiction (1789); 1st Identified Written Reference (1821); Other (1836); Other (1962-1965)
3985,"Conygar, North Somerset (Conygar Camp; Portbury)","Mention in Rutter 1829. On 1st Ed. OS Map (1884). Field investigations 1962, 1965 - no details.",1st Identified Written Reference (1829); 1st Identified Map Depiction (1884); Other (1962-1965)
3986,"Cadbury Camp, Tickenham, North Somerset","On 1st Ed. OS map (1884). Excavation H. St George Gray 1922. Field investigations 1962, 1965 - no details. Geophysical survey National Trust 1998-1999.",1st Identified Map Depiction (1884); Excavation (1922); Other (1962-1965); Geophysical Survey (1998-1999)
3987,"Black Hill, Earlston, Scottish Borders (Black Hill, Cowdenknowes)","Photographed by RCAHMS Aerial Survey Programme in 1982, 1983 and 2008",1st Identified Written Reference (1831); 1st Identified Map Depiction (1858); Other (1866); Earthwork Survey (1894); Other (1908); Earthwork Survey (1912); Other (1923); Other (1961); Other (1988)
3988,"White Hill, Earlston, Scottish Borders",Photographed by RCAHMS Aerial Survey Programme in 1976 and 1995,1st Identified Written Reference (1976)
3989,"Fengate, Peterborough",N/A as not a hillfort,NA
3990,"Redpath, Scottish Borders",NA,1st Identified Written Reference (2006)
3991,"Blythe, Scottish Borders","Photographed by RCAHMS Aerial Survey Programme in 1982, 1983, 1985 and 1998",1st Identified Map Depiction (1826); Other (1857); Other (1894); Other (1908); Other (1956); Other (1962)
3992,"Bonnet Plantation, Scottish Borders","This is conceivably the concentric ring on a hill symbol shown to the NW of Snawdon on Andrew and Mostyn Armstrong's Map of the County of Berwick (1771), though in relationship to the 19th century farmstead of that name it lies SW.",1st Identified Map Depiction (1826); Earthwork Survey (1912); Other (1955); Other (1962)
3994,"Thirlestane Hill, Scottish Borders",Photographed by RCAHMS Aerial Survey Programme in 1998,1st Identified Map Depiction (1771); Other (1859); Other (1883); Other (1894); Other (1908); Earthwork Survey (1912); Other (1952); Other (1955); Other (1962); Other (1989)
3995,"Annables Farm, Hertfordshire",N/A as not a hillfort,NA
3996,"Boon Hill, Scottish Borders",NA,1st Identified Map Depiction (1771); Earthwork Survey (1912); Other (1955); Other (1962)
3997,"Seasalter, Kent",N/A as not a hillfort,NA
3998,"Thirlestane, Scottish Borders",1989,Earthwork Survey (1921); Other (1956); Other (1962); Other (1989)
3999,"Boon, Scottish Borders","Photographed by RCAHMS Aerial Survey Programme in 1976,1978, 1983, 1984,1986, 1988, 1992, 1993, 1995, 1996, 1998, 2001 and 2006",1st Identified Written Reference (1976)
4000,"Selsey-Chichester, West Sussex",N/A as not a hillfort,NA
4001,"Chester Hill, Lauder, Scottish Borders",NA,1st Identified Map Depiction (1857); Other (1894); Other (1908); Earthwork Survey (1912); Other (1952); Other (1956); Other (1962)
4002,"Legerwood Hill, Scottish Borders","This is quite likely to have been the ploughed out camp noted by James Tait (1884, 308) on the 'Legerwood Black Hill', in which two spindle whorls had been picked up 1881-3.",1st Identified Map Depiction (1826); Other (1857); Other (1894); Other (1908); Other (1912); Other (1955); Other (1962)
