Main_Atlas_Number,Main_Display_Name,Management_Condition_Comments,Management_Land_Use_Comments,Management_Condition_Extant,Management_Condition_Cropmark,Management_Condition_Destroyed,Management_Land_Use_Woodland,Management_Land_Use_Plantation,Management_Land_Use_Parkland,Management_Land_Use_Pasture,Management_Land_Use_Arable,Management_Land_Use_Scrub,Management_Land_Use_Moorland,Management_Land_Use_Heath,Management_Land_Use_Urban,Management_Land_Use_Coastal,Management_Land_Use_Other
3557,"Chester Rig, Cardon, Scottish Borders (The Rings)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3558,"Brill, Buckinghamshire (Earthworks, All Saints Church)",Destroyed by housing and associated infrastructure,Playing fields,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes
3559,"Maids Moreton, Buckinghamshire",2015 Heritage at Risk Register - recorded as extensive significant problems. Vulnerable from arable ploughing,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3560,"Knowe Kniffling, Scottish Borders",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3561,"White Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3562,"Candyburn Castle, Scottish Borders",Vague traces visible on the satellite iagery conforming to the overall plan depicte on early OS maps,NA,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3563,"Muirburn, Scottish Borders (Muirburn Castle)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3564,"Stanhope, Scottish Borders (Wester Stanhope)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3565,"Worm Hill, Scottish Borders (Patervan)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3566,"Glan Frogan, Powys",Possible traces only.,Dense woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3567,"Whiteside Rig, Scottish Borders (Manyleith Rig)",NA,"Clearing in a large plantation, with ploughing and trees encroaching along the flanks",Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3568,"Nether Oliver Craigs, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3569,"Lour, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3570,"Hammer Knowe, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3571,"Kerr's Knowe, Scottish Borders",NA,Formerly under trees and now in a clearing in a forestry plantation,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3572,"Easton Burn, Scottish Borders",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3573,"Easter Dawyck, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3574,"Greenfield Copse, Oxfordshire",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3575,"Wester Dawyck, Scottish Borders",NA,Small plantation,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3576,"Langlaw Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3577,"Dreva Craig, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
3578,"Helm End, Scottish Borders",NA,The SE half lies in a clearing in a forestry plantation and is heavily infested with bracken,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No
3579,"Abbotsbury Castle, Dorset","Fair condition despite some public access erosion.South West Coast Path along S border of site. Later wall NS across W end from entrance later parish boundary, wall, now much tumbled, cuts through S top rampart. On Heritage at Risk Register (2015).","Pasture and scrub/bracken interior, scrub on banks. SSSI.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3580,"Badbury Rings, Dorset (Badbury Camp)","Fine condition and well-managed National Trust site (since 1982) and now part of the Kingston Lacy House estate. Very popular public access site, with continuing management works, including access walkways on ramparts.","Domed site largely tree covered, 'Badbury Clump', in interior with grassy banks with some scrub. Summit already planted when Colt Hoare visited site 1822. SSSI.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
3581,"Banbury Hill Camp, Dorset (Banbury Hillfort)",Ramparts much reduced by ploughing with some quarrying and split between four fields.,Improved pasture fields. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
3582,"Bindon Hill, Dorset","Site part of extensive MOD firing range, and, as result, access limited.  Disturbed by holiday development on W. On Heritage at Risk Register (2015).",Coastal grassland and MOD firing range.,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
3583,"Bulbury Camp, Dorset (Belbury)",Much reduced by ploughing. Intrusive development on N and golf course S to W  Partly overlain by house and gardens of Higher Bulbury Farm.,Cultivated..,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3584,"Danbury Camp, Essex",The northern arc of the ramparts has been totally subsumed under housing. Garden landscaping and associated housing has damaged the exterior face of the rampart in a number of places. Further damage caused by modern paths and allotment cultivation.,"Graveyard, allotments, housing and gardens",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes
3585,"Buzbury Rings, Dorset",Much damaged by B3082 road Blandford Forum to Wimborne Minster running through site NNE-SE and many tracks. Part of Ashley Wood golf-course on NE third of site. Much of rest damaged or destroyed by ploughing.,"Rough grass, golf course or road and scrub/trees on outer circuit. Main road.",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes
3586,"The Castle, Cattistock, Dorset (Cattistock Castle; Castle Hill)",Reduced by past cultivation.,"Improved pasture, cultivated in past. Hedgeline on W.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3587,"Chalbury, Dorset",Well-preserved though possible quarry damage to interior and large modern quarry to ditch on W side.,Improved pasture.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3588,"Chilcombe Hill, Dorset",Ploughed-down. Outer bank part-destroyed on N by quarrying.,Improved pasture. Quarrying.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
3589,"Coney's Castle, Dorset","Long Lane bisects site N-S. Much affected by mineral extraction; gravel-pit destroyed part of outer defences on N, and quarry worked inside large enclosure. Hedgerows destroyed much of inner bank of larger enclosure and affected smaller enclosure also. On Heritage at Risk Register (2015).","Woodland, scrub and pasture. Road and quarry workings.",Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
3590,"Dudsbury Camp, Dorset",fair condition in part.,Interior under cultivation for many years except for NE quadrant where house and garden.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
3591,"Dungeon Hill, Dorset (Dungeon Camp; Dunset Camp)","Well-preserved, but badly affected by the two modern breaches, with brick arches constructed through ramparts (now dilapidated) on NE and NW. Small chalk pit damage to E ditch.","Interior improved pasture, wooded and overgrown banks and ditch. Brick arches constructed through ramparts (now dilapidated) on NE and NW.",Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes
3592,"Eggardon, Dorset (Eggardun)","Generally well-preserved, but N half of interior in private ownership and regularly ploughed. That to S unploughed and  National Trust site. Affected by gravel digging in past. Affected by lane immediately along NE. Path SE-NW through site through entrances.",Pasture interior and banks. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3593,"Flower's Barrow, Dorset","South West Coast Path through site E-W. Spectacular coastal erosion has reduced site by at least one half and formerly a distance inland (Brown 2009, 186), and noted as early as 1744 by antiquarian Edward Weld. On Heritage at Risk Register (2015).",Coastal grassland and bare chalk.,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No
3594,"Hengistbury Head, Dorset",Well-preserved bank.,Rough coastal grassland and scrub.,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
3595,"Hod Hill, Dorset",Well-preserved National Trust site. Part ploughed interior. On Heritage at Risk Register (2015).,Rough pasture. Wooded slopes on W and part-wooded  on E. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3596,"Lambert's Castle, Dorset",National Trust site. Wessex Way passes through site. Disturbed by 19th century field walls. On Heritage at Risk Register (2015).,"Rough grass, scrub and trees, latter especially on banks. Telegraph station. SSSI.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
3597,"Lewesdon, Dorset",Interior much disturbed by gravel digging and timber removal. National Trust site.,Densely wooded site and surrounds.,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
3598,"Maiden Castle, Winterborne St Martin, Dorset (Maiden Castle, Dorchester)",English Heritage site in outstanding condition.,Managed pasture. SSSI.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3599,"Mistleberry, Dorset",Condition not determined. Site obscured by dense trees and scrub. On Heritage at Risk Register (2015).,"Within sinuous E-W Mistleberry Wood, with cultivated fields to N and S.",Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3600,"Nettlecombe Tout, Dorset",Site partially destroyed by ploughing or unfinished. Massive bank runs from NE-SSW. Nearby Wessex Ridgeway 200m to S.,Improved pasture interior. Scrub and trees on bank.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3602,"Penbury Knoll, Dorset",Badly damaged by quarrying.,Overgrown with trees and undergrowth. Quarrying.,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes
3603,"Pilsdon Pen, Dorset","Generally well-preserved, but on SW bank destroyed by pillow-mound and inner and outer ditches mutilated by hedgebanks on NE and SW respectively. Owned and managed by National Trust.","Pasture interior, scrub/trees on banks and slopes NE-SE. Scrub on W banks.",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
3604,"Poundbury, Dorset","Major encroachment of Dorchester development on E and S. Inner bank relatively well-preserved, outer much damaged.","Pasture interior and banks on W quadrants, scrub on N. Building encroachment and WWII features.",Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes
3605,"Rowlsbury Camp, Dorset (Rawlsbury Rings; Rawlsbury)",Parts generally well-preserved despite disturbance by trackways and N side cut by road and impinged woodland. Crossed by hedge which marks parish boundary.,"Pasture interior, scrub and few trees on banks. N side impinged by wood. Cut by road.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
3606,"Shipton Hill, Dorset",Enigmatic site difficult to interpret.,"Rough grass, scrub and trees.",Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
3607,"Spettisbury Rings, Dorset (Spetisbury Rings; Crawford Castle)","Generally well-preserved, although interior cultivated. Cut by 19th century railway cutting on NE side. On Heritage at Risk Register (2015).",Interior cultivated in past. Cut by 19th century railway cutting on NE side.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes
3608,"Sturminster Newton Castle, Dorset",Medieval manor remains and modern farm and buildings in interior.,Pasture and buildings of working farm. Medieval manor remains in interior.,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
3609,"Weatherby Castle, Dorset",Generally well-preserved despite loss of outer ditch and some bank loss through past cultivation and modern access tracks into interior.   On Heritage at Risk Register (2015).,"Wooded interior, less trees on banks, some scrub and grassy areas between the enclosures. banks. Brick obelisk.",Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
3610,"Woodbury Hill Camp, Dorset","Generally much degraded and interior ploughed and developed. Track NE-SW through interior to farm buildings possibly uses original entrances and now much damaged. Tithe map of 1844 shows many structures in interior 24 with garden plots, of which subsequently removed in 19th century, leaving much modern debris on hilltop. Central farm interior may have early origins. Site of medieval chapel in SW interior, present in 15th century, demolished by 18th century. Holy well, situated 25m to SE of the chapel, probably associated with it. Two houses situated on W side of hillfort, within the ditch, demolished in 1981. Hilltop mentioned by Thomas Hardy as `Green Hill' traditional for annual sheep-fair to be held. Annual fairs continued into early 20th century. Despite this development within survives well.",Improved pasture. Some trees and scrub on banks. Buildings in interior.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No
3611,"Woolsbarrow, Dorset",Badly damaged by sand and gravel working which has destroyed interior on E. Path passes through interior c. E-W. Cleared area within State forest.,Clear but scrub and bracken.,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
3612,"Pitchbury Ramparts, Essex (Pitchbury Rings)",On Heritage at Risk Register (2015). Extensive plough damage to the interior recorded during 1973 excavations. Well-defined cropmark on 2005 Google earth satellite imagery,Northern arc of the ramparts survive in woodland,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
3613,"Caesar's Camp, Dorset (Bussey Stool Camp; Bussey Stool Park)",General good condition despite undergrowth. Bank reduced by ploughing in past N of SE entrance. On Heritage at Risk Register (2015).,Dense woodland.,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3614,"Old Warren, Dorset (Danes' Camp)",Mutilated site.,Rough upland moorland.,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
3615,"Colebarrow, Dorset (Holt Heath and Forest)",Virtually destroyed National Trust site.,Pasture and part-built on.,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No
3617,"Langdon Hills, Essex",Land owned by Essex County Council. Destroyed by quarrying,NA,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
3618,"Quarter Wood Side, Scottish Borders",In a plantation in the 19th century and remained under trees until quite recently,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3619,"Rachan Hill, Scottish Borders",NA,The NE flank has been in a plantation since the 19th century and the rest is now in a clearing in a larger plantation,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3620,"Henry's Brae, Scottish Borders (Vane Law)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3621,"Tinnis Castle, Scottish Borders (Thanes)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3622,"Bordlands Rings, Scottish Borders",NA,NA,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
3623,"Whiteside Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3624,"Blyth Bank Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3625,"Henderland Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3626,"Blyth Hill, Scottish Borders",NA,Previously in a 19th century plantation,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3627,"Hog Hill, Scottish Borders (Wester Happrew)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3628,"Hamildean Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3629,"Tor Hill, Torbank, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3630,"Wester Happrew, Scottish Borders",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3631,"Harehope Rings, Scottish Borders (Harehope Hill)",NA,Clearing in a coniferous plantation,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
3632,"Ladyurd Rings, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3633,"Callands, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3634,"Drochil Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3635,"Lyne Burn, Scottish Borders (Harehope)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3636,"Castlecraig, Scottish Borders (Castle Hill)",NA,"Tennis court. Indeed, having been recorded by Richard Feachem, opinion amongst other RCAHMS investigators was split as to whether the earthworks were no more than the result of constructing the bowling green that preceded the tennis court.",Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
3637,"Gallowberry Wood, Scottish Borders (Bryland)",NA,"Clearing in a coniferous plantation, having formerly been planted in the 19th century",Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3638,"Lochurd, Scottish Borders",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3639,"Kings Meadows, Scottish Borders (King's Meadows)",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3640,"Camp Law Plantation, Scottish Borders (Whitehaugh)",NA,NA,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3641,"Kailzie, Tor Hill, Scottish Borders",NA,NW quarter was planted with trees in the 19th century but is now in pasture,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No
3642,"Charge Law Plantation, Scottish Borders",NA,Formerly planted with trees in the 19th century and now reverted to rough pasture,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3643,"Waddenshope, Scottish Borders (Upper Newby)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3644,"Lady Blair Plantation, Scottish Borders (Haystoun)",NA,Previously planted with trees in the 19th century,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3645,"Horsburgh Castle, Scottish Borders",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3646,"Whitelaw Rig, Scottish Borders (Castlehill; Manor Water)",NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
3647,"Syke Hill, Scottish Borders",NA,"Now in a clearing in a coniferous plantation, the NE half having been planted with trees in the 19th century and the SW half by the end of the century",Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3648,"Hunt Hill, Scottish Borders",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3649,"Edston, Scottish Borders",Destroyed by 1974,Quarry,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
3650,"Woodhouse Hill, Scottish Borders",NA,Formerly in a plantation,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3651,"Quaw Plantation, Scottish Borders (Cademuir Farm)",NA,Planted with trees since the early 19th century,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3652,"The Whaum, Scottish Borders (Bellanrig)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3653,"Cademuir Hill, Scottish Borders (Cademuir Hill 2)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3654,"Cademuir Hill, Scottish Borders (Cademuir Hill 1)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3655,"Chester Hill, Hundleshope, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3656,"Manor Sware, Scottish Borders",NA,Under young trees,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
3657,"Chester Rig, Glen, Scottish Borders",NA,Having been planted with trees in the 19th century it is now in rough grass an heather with occasional trees,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
3658,"Wood Hill, Scottish Borders (Macbeth's Castle)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3659,"Ring Knowe, Scottish Borders",NA,Previously planted with trees in the early 19th century but now cleared with only a scatter of deciduous trees,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
3660,"Hallmanor, Scottish Borders (Glenrath)",NA,"Under conifers, having been first planted in the early 19th century",Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3661,"Northshield Rings, Scottish Borders",NA,Formerly under trees since the early 19th century,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3662,"Wormiston Rings, Scottish Borders",NA,NA,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
3663,"Milkieston Rings, Scottish Borders (Milkieston Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3664,"Milkieston, Scottish Borders",NA,NA,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
3665,"Wormiston, Scottish Borders",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3666,"Ven Law, Scottish Borders",NA,Planted with trees in the early 19th century,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3667,"Kittlegairy Burn, Scottish Borders (Glenbield; Soonhope Burn; Glentress Forest)",NA,Enclosed within a clearing within the bend of a forest road,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3668,"Janet's Brae, Scottish Borders (Peebles Hydropathic)",NA,Clearing in an extensive forest,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3669,"Cardie Hill, Scottish Borders",NA,Small clearing within a large plantation,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
3670,"Castle Hill, Horsburgh Castle Farm, Scottish Borders (Horsbrugh)",NA,"Formerly under pasture, it is now in a large clearing in a plantation.",Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3671,"Smithfield, Scottish Borders",NA,NA,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3672,"Janet's Brae, Scottish Borders (Peebles Hydropathic)",NA,Planted with trees since the early 19th century but now in a clearing,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No
3673,"Black Meldon, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3674,"White Meldon, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3675,"Meldon Burn, Scottish Borders (White Meldon)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3676,"Upper Kidston, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3677,"West Bold, Scottish Borders (Bold Rig)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3678,"Cardrona, Scottish Borders (Castle Knowe; Cardrona House Policies)",NA,Clearing in a modern coniferous plantation,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3679,"Pirn Wood, Scottish Borders (Pirnwood)",NA,"Planted with trees in the early 19th century, it now lies in clearing ground with coniferous and deciduous  woodland round about.",Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
3680,"Caerlee, Scottish Borders (Caerlee Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3681,"Traquair, Chester Hill, Scottish Borders",NA,NA,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No
3682,"Grieston Hill, Scottish Borders",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3683,"Long Crendon, Buckinghamshire",NA,NA,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
3684,"Glenwhappen Rig, Scottish Borders (Glenbreck)",NA,Clearing in coniferous forest,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
3685,"The Castle, Leigh, Dorset (Leigh Castle; Castle Hill, Leigh)",Part-destroyed.,Bank in woodland which covers site and ditch in pasture outside except on NE where both bank and ditch both in pasture.,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No
3686,"Dronley Burn, Angus",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3687,"Dechmont Law, West Lothian",Quarried along one side,NA,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
3688,"Craigton Hill, West Lothian (Craigton Fort; Craigton Quarry)",Destroyed by quarrying,Quarried wasteland,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes
3689,"Abercorn, West Lothian",NA,NA,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
3690,"Peace Knowe, West Lothian",NA,Heavily overgrown with gorse,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
3691,"Wallbury Camp, Essex (Dells)",NA,NA,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No
3692,"Ring Hill Camp, Essex (Starbury; Warren Ring)",NA,NA,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3693,"Stacks, Falkirk",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3694,"Prittlewell Camp, Southend-on-Sea (Greve Field; Grove Field; Pritwell; Fossets Mounds, Smithers Farm; The Look Out)",NA,The ramparts in the SW lie within a woodland belt and woodland appears to be encroaching in to the interior.,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
3695,"Braidwood, Midlothian (Camp Hill; Camphill Fort; Braidwood Bridge)",NA,Previously had bracken on it but this has been sprayed,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3696,"Clubbiedean, City of Edinburgh (Clubbiedean Reservoir)",NA,NA,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
3697,"Currievale, City of Edinburgh (Cocklaw)",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3698,"Dalmahoy Hill, City of Edinburgh",NA,NA,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
3699,"Kaimes Hill, City of Edinburgh",The greater part of this fort was quarried and only a small fragment at the NE end remains,NA,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
3700,"Craigie Hill, City of Edinburgh",NA,Scattered trees clumps and dense gorse clothe the whole site,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3701,"Gogar, City of Edinburgh",NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
3702,"Hillwood, City of Edinburgh",NA,NA,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
3703,"Mavisbank House, Midlothian (Bilston Burn; River North Esk; Mavisbank House Policies; New Saughton Hal)",NA,NA,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No
3704,"Pentland Grove, Midlothian (Seafield Moor)",NA,NA,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No
3705,"Torgeith Knowe, City of Edinburgh",NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
3706,"Hillend, Midlothian (Caerketton Hill)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3707,"Woodhouselee Hill, Midlothian",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3708,"Maiden Castle, Midlothian",NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No
3709,"Roslin, Midlothian (Penicuik Road)",NA,Having been under arable it currently appears to be a tree nursery.,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No
3710,"Castle Law, Glencorse, Midlothian (Castlelaw)",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3711,"Turnhouse Hill, Midlothian (Lawhead)",NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
3712,"Castle Knowe, Midlothian",NA,NA,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
3713,"Edinburgh Castle, City of Edinburgh (Castle Rock; Mills Mount)",NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
3714,"Blackford Hill, City of Edinburgh (Edinburgh, Blackford Hill)",NA,NA,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
3715,"North Poorton, Dorset (Burcombe Farm)",Partly hewn through rock with rough and unfinished appearance and on Heritage at Risk Register (2015).,Pasture site.,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
3716,"Dunsapie, City of Edinburgh (Edinburgh, Holyrood Park, Dunsapie; The King's Park; Queen's Park; Dunsapie Crag; Dunsapie Loch)",NA,NA,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
