Main_Atlas_Number,Main_Display_Name,Enclosing_Area_1,Enclosing_Area_2,Enclosing_Area_3,Enclosing_Area_4,Enclosing_Enclosed_Area,Enclosing_Area,Enclosing_Max_Ramparts,Enclosing_NE_Quadrant,Enclosing_SE_Quadrant,Enclosing_SW_Quadrant,Enclosing_NW_Quadrant,Enclosing_Ditches_Number,Enclosing_Summary,Enclosing_Multiperiod_Comments,Enclosing_Circuit_Comments,Enclosing_Quadrant_Comments,Enclosing_Surface_Comments,Enclosing_Excavation_Comments,Enclosing_Gang_Working_Comments,Enclosing_Ditches_Comments,Enclosing_Multiperiod,Enclosing_Circuit,Enclosing_Current_Part_Uni,Enclosing_Current_Uni,Enclosing_Current_Part_Bi,Enclosing_Current_Bi,Enclosing_Current_Part_Multi,Enclosing_Current_Multi,Enclosing_Current_Unknown,Enclosing_Period_Part_Uni,Enclosing_Period_Uni,Enclosing_Period_Part_Bi,Enclosing_Period_Bi,Enclosing_Period_Part_Multi,Enclosing_Period_Multi,Enclosing_Surface_None,Enclosing_Surface_Bank,Enclosing_Surface_Wall,Enclosing_Surface_Rubble,Enclosing_Surface_Walk,Enclosing_Surface_Timber,Enclosing_Surface_Vitrification,Enclosing_Surface_Burning,Enclosing_Surface_Palisade,Enclosing_Surface_Counter_Scarp,Enclosing_Surface_Berm,Enclosing_Surface_Unfinished,Enclosing_Surface_Other,Enclosing_Excavation_Nothing,Enclosing_Excavation_Bank,Enclosing_Excavation_Wall,Enclosing_Excavation_Murus,Enclosing_Excavation_Timber_Framed,Enclosing_Excavation_Timber_Laced,Enclosing_Excavation_Vitrification,Enclosing_Excavation_Burning,Enclosing_Excavation_Palisade,Enclosing_Excavation_Counter_Scarp,Enclosing_Excavation_Berm,Enclosing_Excavation_Unfinished,Enclosing_Excavation_No_Known,Enclosing_Excavation_Other,Enclosing_Gang_Working,Enclosing_Ditches
3638,"Lochurd, Scottish Borders",0.25,-1.0,-1.0,-1.0,0.25,0.6,2.0,2.0,2.0,2.0,2.0,2.0,Double ramparts with external ditches,"The cropmarks indicate a more circular element in the defences at the SW end, almost certainly indicating a more complex history of construction than the oval enclosure previously noted",NA,NA,Virtually ploughed out,NA,NA,NA,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3639,"Kings Meadows, Scottish Borders (King's Meadows)",0.19,-1.0,-1.0,-1.0,0.19,-1.0,3.0,0.0,2.0,3.0,1.0,-1.0,"At least two ramparts, but with a possible third identified on the SW",NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3640,"Camp Law Plantation, Scottish Borders (Whitehaugh)",0.24,0.45,-1.0,-1.0,0.45,-1.0,4.0,2.0,1.0,4.0,1.0,2.0,Inner enclosure with a fragmentary outer enclosure that has either been heavily robbed or was never finished,NA,NA,NA,The outer defences are possibly unfinished,NA,NA,Probably two for a short distance on the SW,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3641,"Kailzie, Tor Hill, Scottish Borders",0.15,-1.0,-1.0,-1.0,0.15,-1.0,4.0,4.0,2.0,2.0,1.0,-1.0,"Inner enclosure bounded by a single rampart, and a fragmentary outer enclosure with three ramparts",NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3642,"Charge Law Plantation, Scottish Borders",0.3,-1.0,-1.0,-1.0,0.3,-1.0,3.0,2.0,2.0,3.0,2.0,2.0,"Twin ramparts, in places with a medial ditch, and an outer rampart and ditch on the most vulnerable flank","Interpreted by RCAHMS investigators in 1959 as a bivallate settlement overlying an earlier, unfinished bivallate fort",NA,NA,The southern arc of defences has been identified as the remains of an unfinished fort by RCAHMS investigators in 1959,NA,NA,On the S side,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3643,"Waddenshope, Scottish Borders (Upper Newby)",0.16,0.49,-1.0,-1.0,0.49,0.65,2.0,2.0,2.0,2.0,2.0,2.0,Two ramparts forming eccentric enclosures and accompanied on the line of easiest access by ditches with palisade trenches set beyond the counterscarp,NA,Palisades omitted from the figures below,NA,NA,NA,NA,Only visible at one end,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3644,"Lady Blair Plantation, Scottish Borders (Haystoun)",0.12,0.34,-1.0,-1.0,0.34,0.4,2.0,2.0,2.0,2.0,2.0,-1.0,Two wide-spaced ramparts,NA,NA,NA,"The OS in 1974 suggested there was evidence that the outer rampart was unfinished, but the unelaborated evidence of gang-work John Palmer claimed on the S and E is more likely to reflect patterns of robbing and disturbance",NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3645,"Horsburgh Castle, Scottish Borders",0.88,-1.0,-1.0,-1.0,0.88,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,"A complete circuit of one ditch, presumably with an upcast rampart, and an outer ditch, again presumably with an upcast rampart around one quarter.",NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3646,"Whitelaw Rig, Scottish Borders (Castlehill; Manor Water)",0.4,-1.0,-1.0,-1.0,0.4,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,Single ramaprt,NA,NA,NA,Grass-grown rubble,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3647,"Syke Hill, Scottish Borders",0.21,-1.0,-1.0,-1.0,0.21,0.33,1.0,1.0,1.0,1.0,1.0,1.0,Single rampart and ditch,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3648,"Hunt Hill, Scottish Borders",0.31,-1.0,-1.0,-1.0,0.31,-1.0,3.0,1.0,2.0,2.0,3.0,3.0,"Two ramparts with external ditches forming the inner defences, with traces of an outer counterscarp bank on the N, and an outer rampart and ditch swinging round one side",NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3649,"Edston, Scottish Borders",0.27,-1.0,-1.0,-1.0,0.27,-1.0,3.0,1.0,0.0,2.0,3.0,-1.0,"Three ramparts, probably representing at least two periods of construction, and a linear earthwork on the N",The sequence between the inner enclosure and the outer defences is implicit in the way it was drawn on plan by RCAHMS investigators,NA,NA,Grass-grown rubble at the time they were recorded,NA,NA,NA,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3650,"Woodhouse Hill, Scottish Borders",0.15,0.27,-1.0,-1.0,0.27,0.6,4.0,2.0,2.0,4.0,4.0,-1.0,"Up to four ramparts, but probably representing more than one scheme of defence","The inner enclosure probably overlies the second rampart on the NNE, though the junction is ambiguous",NA,NA,Grass-grown rubble The supposed marker trench is not particularly convincing as an unfinished defence,NA,NA,NA,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3651,"Quaw Plantation, Scottish Borders (Cademuir Farm)",0.31,0.8,-1.0,-1.0,0.8,0.13,5.0,1.0,3.0,1.0,5.0,3.0,"An inner enclosure defended by twin ramparts with a medial ditch, and an outer enclosure with up to four ramparts across the neck of the ridge on the NW and a ditch with an external bank on the SE","On plan, the inner enclosure is likely to overlie the outer defences on the ENE",NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3652,"The Whaum, Scottish Borders (Bellanrig)",0.13,-1.0,-1.0,-1.0,0.13,0.34,2.0,1.0,2.0,2.0,2.0,-1.0,"Probably two ramparts, but possibly with a third on one side, the overall footprint below excludes the extent of overlying settlement and enclosures","The defences are clearly overlain by elements of the later settlements, but it is unclear whether the two ramparts represent a unified scheme or separate periods of enclosure.",NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3653,"Cademuir Hill, Scottish Borders (Cademuir Hill 2)",0.23,-1.0,-1.0,-1.0,0.23,0.64,2.0,1.0,2.0,2.0,1.0,-1.0,"Single main rampart, with an outlying rampart along the E side, an outer annexe on the N and a hornwork around the entrance on the W, and a chevaux de frise sited in the gully to the E",The outer rampart visible in the annexe on the N almost certainly underlies it,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3654,"Cademuir Hill, Scottish Borders (Cademuir Hill 1)",2.1,-1.0,-1.0,-1.0,2.1,0.27,2.0,2.0,0.0,2.0,2.0,1.0,Two ramparts everywhere except along the escarpment on the SE,NA,NA,NA,The claim that the outer rampart is unfinished is difficult to sustain on the limited evidence provided by the short segments of ditch at two points on the circuit.,NA,NA,Intermittent traces of an external ditch accompanying the outer rampart at two places,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3655,"Chester Hill, Hundleshope, Scottish Borders",0.11,0.24,-1.0,-1.0,0.24,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,"Apparently two ramparts, but interpreted by RCAHMS investigators in 1962 as the remains of a settlement inserted into an earlier fort, but the settlement wall appears to have been quite substantial and may have been a fortification in its own right.",In their collapsed state the inner wall possibly overlies the outer rampart on the N,NA,NA,NA,"In places the excavator was of the opinion that the inner wall displayed evidence of two sets of facings, one set behind the other.",NA,Accompanying the outer rampart,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
3656,"Manor Sware, Scottish Borders",0.24,-1.0,-1.0,-1.0,0.24,-1.0,3.0,3.0,0.0,1.0,1.0,-1.0,Up to three ramparts,NA,NA,NA,Grass grown rubble beneath trees,NA,NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3657,"Chester Rig, Glen, Scottish Borders",0.7,-1.0,-1.0,-1.0,0.7,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,Single wall,Overlain by two later settlements,This excludes the perimeters of the two later settlements,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3658,"Wood Hill, Scottish Borders (Macbeth's Castle)",0.14,0.3,-1.0,-1.0,0.3,0.59,3.0,3.0,2.0,3.0,2.0,-1.0,"The latest phase is defended by a thick stone wall encircling the summit, while the earlier defences appear to comprise twin ramparts",NA,Excludes the outermost scarp shown on the RCAHMS plan,NA,NA,NA,NA,NA,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3659,"Ring Knowe, Scottish Borders",0.4,-1.0,-1.0,-1.0,0.4,1.4,3.0,3.0,3.0,3.0,3.0,3.0,Triple ramparts and ditches,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3660,"Hallmanor, Scottish Borders (Glenrath)",0.27,-1.0,-1.0,-1.0,0.27,-1.0,2.0,1.0,1.0,2.0,2.0,1.0,The walled settlement enclosure overlies a univallate fort with a possible outer rampart on the most accessible W side,The settlement enclosure overlies the earlier rampart on the E,Excludes the settlement enclosure,NA,NA,NA,NA,Traces of a ditch on the more accessible W side,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3661,"Northshield Rings, Scottish Borders",0.62,-1.0,-1.0,-1.0,0.62,1.3,2.0,2.0,2.0,2.0,2.0,2.0,"Two ramparts and ditches with an outer counterscarp bank, and probably a later settlement inserted into the interior",NA,"Excludes the settlement lying within the interior, enclosed by a rampart with an external ditch and a counterscarp bank",NA,The claim that some elements of the outer defences here were unfinished cannot be sustained,NA,NA,Excludes the ditch of the settlement within the interior,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3662,"Wormiston Rings, Scottish Borders",0.5,-1.0,-1.0,-1.0,0.5,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,"Twin ramparts and ditches, heavily ploughed down round most of the circuit",The two fragments of rampart on the S of the W entrance appear to represent a sequence,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3663,"Milkieston Rings, Scottish Borders (Milkieston Hill)",0.13,0.51,0.74,-1.0,0.74,1.7,6.0,5.0,5.0,4.0,6.0,2.0,"A relatively small inner circuit is encircled by a second robbed rampart, which is overlain by the inner of the best preserved sector of the defences on the NW; this outer scheme comprises three or four ramparts and two ditches and is evidently of several periods of construction. In addition a linear earthwork cuts across the spur on the NW, and their is a system of other earthworks, including some flanked by pits lower down the slope.","Evidence of several stratigraphic sequences, but the remains are too heavily disturbed to be entirely certain of their significance in the overall sequence. Comparison with other forts, for example, suggest that the innermost enclosure is likely to be a later insertion, but this cannot be demonstrated here.",NA,NA,"The idea that elements of the defences may be unfinished here, may be based on a misunderstanding of the scale of subsequent demolition and alteration",Antiquarian excavation apparently restricted to the interior,NA,NA,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
3664,"Milkieston, Scottish Borders",0.63,-1.0,-1.0,-1.0,0.63,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,"Twin ditches, presumably accompanied by two or three upcast ramparts",NA,NA,NA,Effectively none though there may be faint traces of the ramparts on the E,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3665,"Wormiston, Scottish Borders",0.16,-1.0,-1.0,-1.0,0.16,-1.0,2.0,0.0,2.0,2.0,0.0,2.0,Two palisade trenches and two ditches; the relationships between them are unknown,NA,NA,NA,"Not visible on the surface; palisade trenches revealed by parchmarks, but it is unclear how these relate to the ditched defences",NA,NA,NA,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3666,"Ven Law, Scottish Borders",0.35,-1.0,-1.0,-1.0,0.35,-1.0,3.0,3.0,1.0,1.0,3.0,-1.0,An inner ramaprt forming a continuous enclosure and two outer ramparts barring access from the N,"While there is no observable stratigraphy, the wide gap between the inner and outer ramparts on the N is likely to indicate they represent separate schemes of defence.",NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3667,"Kittlegairy Burn, Scottish Borders (Glenbield; Soonhope Burn; Glentress Forest)",0.14,0.3,-1.0,-1.0,0.3,-1.0,2.0,2.0,2.0,2.0,1.0,1.0,"Two ramparts, the outer accompanied by a ditch on the more vulnerable uphill side",The linking of the inner and outer ramparts appears to be a secondary modification.,NA,NA,NA,NA,NA,On one side,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3668,"Janet's Brae, Scottish Borders (Peebles Hydropathic)",0.35,-1.0,-1.0,-1.0,0.35,-1.0,3.0,3.0,0.0,2.0,3.0,-1.0,Two main ramparts and ditches round most of the circuit with an outlying rampart and ditch on the NE,NA,NA,NA,The claim that the slightness of the third rampart and ditch in the NE sector indicates that it may be unfinished cannot be sustained.,NA,NA,NA,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3669,"Cardie Hill, Scottish Borders",0.08,-1.0,-1.0,-1.0,0.08,-1.0,2.0,2.0,2.0,2.0,2.0,-1.0,"At least two and possibly three stone ramparts; the spacing of the ramparts is not recorded by RCAHMS investigators in 1959, and is given at 10 yards (9m) by David Christison (1887), though he could only trace the inner round the SE half, where he also noted a short length of a third",The clearing around the fort is about 60m across and map approximate to the overall footprint of the fort,Very little detail has been recorded here,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3670,"Castle Hill, Horsburgh Castle Farm, Scottish Borders (Horsbrugh)",0.45,-1.0,-1.0,-1.0,0.45,-1.0,2.0,2.0,0.0,0.0,2.0,-1.0,"Tmber-built perimeter with two pairs of palisade trenches, enclosing a smaller enclosure with double palisades, both enclosures certainly overlain by a small bivallate settlement enclosure","While the sequence between the inner pair of palisades and the outer is unknown, both are clearly cut by the ditch of the later settlement",This omits the inner palisades and the small settlement enclosure,NA,Two twin palisades,NA,NA,NA,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3671,"Smithfield, Scottish Borders",0.25,-1.0,-1.0,-1.0,0.25,-1.0,2.0,2.0,1.0,2.0,2.0,1.0,"Two or three ramparts according to different sources, giving internal dimensions of either 0.19ha or 0.25ha; two ramparts the larger interior are preferred here.",NA,This assumes the OS are correct,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3672,"Janet's Brae, Scottish Borders (Peebles Hydropathic)",0.27,-1.0,-1.0,-1.0,0.27,-1.0,3.0,2.0,1.0,3.0,3.0,-1.0,Up to three ramparts,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3673,"Black Meldon, Scottish Borders",0.23,-1.0,-1.0,-1.0,0.23,0.45,2.0,2.0,1.0,2.0,2.0,-1.0,Two ramparts around most of the circuit and a single rampart on the E,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3674,"White Meldon, Scottish Borders",2.9,3.6,-1.0,-1.0,3.6,3.9,4.0,3.0,4.0,1.0,2.0,1.0,"Up to four ramparts representing three or four separate periods of construction, possibly with an early univallate phase","Clearly elements of sequence at the southern end of the fort, but the precise sequence of construction is not known",NA,NA,There is no particular reason to follow the RCAHMS investigator's suggestion that the outermost rampart on the  N is unfinished,NA,NA,Short sectors of outer ramaprt with ditches at the N and S extremities,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3675,"Meldon Burn, Scottish Borders (White Meldon)",0.31,-1.0,-1.0,-1.0,0.31,0.53,1.0,1.0,1.0,1.0,1.0,1.0,Single rampart with a broad ditch around the uphill side,The scooped settlement is dug into the interior and incorporates the earlier perimeter into its wall on the W,Omits the wall of the scooped settlement,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3676,"Upper Kidston, Scottish Borders",0.28,-1.0,-1.0,-1.0,0.28,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,"Single heavily-robbed rampart, and outlying earthworks of unknown significance on the N and W",Overlain on the E by one of a series of yards and courts belonging to a settlement of unknown date on the N flank of the hillock,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3677,"West Bold, Scottish Borders (Bold Rig)",0.21,-1.0,-1.0,-1.0,0.21,-1.0,2.0,2.0,1.0,2.0,0.0,-1.0,An inner rampart everywhere except the W and intermittent traces of an outer rampart on the NE and S,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3678,"Cardrona, Scottish Borders (Castle Knowe; Cardrona House Policies)",0.13,0.53,-1.0,-1.0,0.53,0.56,2.0,2.0,2.0,2.0,2.0,-1.0,"Inner and outer enclosures, with a series of probably later enclosures butted onto the exterior of the outer",NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3679,"Pirn Wood, Scottish Borders (Pirnwood)",0.36,0.68,-1.0,-1.0,0.68,1.3,4.0,4.0,3.0,3.0,2.0,-1.0,An inner enclosure with a single rampart and an outer enclosure with up to three,"Clearly a stratigraphic relationship between the inner and outer enclosures, but the sequence of construction is unclear",NA,NA,NA,NA,NA,NA,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3680,"Caerlee, Scottish Borders (Caerlee Hill)",0.65,-1.0,-1.0,-1.0,0.65,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,"Probably two ramparts with a medial ditch, further enhance on the weakest side by an external ditch and a counterscarp bank.",NA,This excludes the internal settlement,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3681,"Traquair, Chester Hill, Scottish Borders",0.45,1.2,-1.0,-1.0,1.2,1.2,2.0,2.0,2.0,2.0,2.0,-1.0,Two ramparts,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3682,"Grieston Hill, Scottish Borders",0.32,-1.0,-1.0,-1.0,0.32,0.77,3.0,3.0,0.0,3.0,3.0,2.0,Up to three ramparts,NA,NA,NA,NA,NA,NA,But only visible in one sector on the W,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3683,"Long Crendon, Buckinghamshire",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,A pair of ditches recorded on aerial photographs,NA,The position of the ditches is not recorded,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3684,"Glenwhappen Rig, Scottish Borders (Glenbreck)",0.24,-1.0,-1.0,-1.0,0.24,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,Single palisade around the rim of a steep-sided hillock,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
3685,"The Castle, Leigh, Dorset (Leigh Castle; Castle Hill, Leigh)",3.6,-1.0,-1.0,-1.0,3.6,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,"Slight bank, c. 8m wide, 0.3m high internally and 0.7m externally, with occasional traces of outer ditch. Bank barely traceable on NW and a scarp on most of SE and SW sides sides.",NA,Part destroyed.,NA,NA,NA,NA,Occasional traces of outer ditch. ,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
3686,"Dronley Burn, Angus",0.31,-1.0,-1.0,-1.0,0.31,-1.0,2.0,1.0,2.0,0.0,0.0,1.0,"Single ditch, presumably with an upcast rampart, and what is probably a second ditch adjacent to the entrance",NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
