Main_Atlas_Number,Main_Display_Name,Entrances_Breaks,Entrances_Original,Entrances_Breaks_Comments,Entrances_Original_Comments,Entrances_Chevaux_Comments,Entrances_Summary,Related_Entrances,Entrances_Guard_Chambers,Entrances_Chevaux
3256,"Berry Ring, Staffordshire (Bury Ring)",1.0,1.0,NA,NA,NA,Original entrance lies in the S at the neck of the spur,Simple Gap (South),No,No
3257,"Teindside Hill, Scottish Borders",1.0,1.0,Over half the circuit is missing,NA,NA,See main summary,Simple Gap (West),No,No
3258,"Bishop's Wood, Staffordshire",1.0,1.0,NA,NA,NA,"A gap in the centre of the earthworks across the neck of the promontory in the NE, now used as a forest track, is probably the location of the original entrance",Simple Gap (North east),No,No
3259,"Bury Bank, Staffordshire (The Rings; Berry Bank; Darlaston; King Woulhers Castel; Wulferecester)",1.0,1.0,NA,NA,NA,"An inturned funnel-shaped entrance 30m in length, lies at the northern end of the western defences built over the internal quarry ditch.",In-turned (North west),No,No
3260,"Bunbury, Staffordshire",-1.0,1.0,Defences are incomplete,NA,NA,A length of rampart is preserved in the NW breached in the E by an entrance.,Simple Gap (East),No,No
3261,"Slaidhill, Scottish Borders (Slaidhills)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (North west),No,No
3262,"Teindside Hill, Scottish Borders",2.0,2.0,Heavy disturbance of the ENE end and missing sectors elsewhere,NA,NA,See main summary,Simple Gap (East); Simple Gap (East); Simple Gap (West),No,No
3263,"Crom Rig, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
3264,"Gray Coat, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west),No,No
3265,"Hawkhass Linn, Scottish Borders (Hawkhass House; Langside Burn)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South west),No,No
3266,"Coldhouse Kipp, Scottish Borders",2.0,2.0,Large sectors not apparently enclosed,NA,NA,See main summary,Simple Gap (North east); Other Forms (North west),No,No
3267,"Mabonlaw, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South west),No,No
3268,"Borthaugh Hill, Scottish Borders",3.0,1.0,There are gaps in both sides where an old track traverses the interior,NA,NA,See main summary,Simple Gap (North east),No,No
3269,"Todshawhaugh Hill, Scottish Borders",1.0,1.0,The circuit has been largely levelled,NA,NA,See main summary,Simple Gap (North east),No,No
3270,"Highchesters Hill, Scottish Borders",1.0,1.0,Whole of the eastern sector has been levelled by ploughing,NA,NA,See main summary,Simple Gap (North east),No,No
3271,"Newbigging, Scottish Borders",0.0,0.0,NA,None known,NA,None known,NA,No,No
3272,"Whitcastle Hill, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Oblique (East); Simple Gap (East); Simple Gap (South west),No,No
3273,"Harden, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South),No,No
3274,"Todshaw Hill, Scottish Borders",2.0,1.0,NA,NA,NA,See main summary,Oblique (West); Simple Gap (West),No,No
3275,"Blakebillend, Scottish Borders",6.0,2.0,Later activity has broken down the perimeter at several places,NA,NA,See main summary,Passage-way/Corridor (North east); Passage-way/Corridor (West),No,No
3276,"Earlside, Scottish Borders",1.0,1.0,Large sectors of the perimeter have been heavily reduced by rig cultivation,NA,NA,See main summary,Simple Gap (South east),No,No
3277,"Mid Hill, Scottish Borders",2.0,2.0,Large sectors of the inner rampart are heavily reduce,NA,NA,See main summary,Oblique (South west); Simple Gap (South west); Simple Gap (North east),No,No
3278,"Denholm Hill, Scottish Borders",1.0,1.0,large sectors of the perimeter mutilated,NA,NA,See main summary,Simple Gap (North west),No,No
3279,"Adderston Shiels, Scottish Borders (Adderston Tower; Cleary; Cleerie; Adderston Castle)",0.0,0.0,NA,None known,NA,See main summary,NA,No,No
3280,"South Berryfell, Scottish Borders",2.0,2.0,"Large sector ploughed down on the NW, and the SE quadrant has been mutilated by drainage works",NA,NA,See main summary,Simple Gap (South east); Simple Gap (West),No,No
3281,"South Berryfell, Scottish Borders",1.0,1.0,Large sectors of the circuit have been levelled,NA,NA,See main summary,Simple Gap (North west),No,No
3282,"Rubers Law, Scottish Borders (Ruberslaw)",6.0,3.0,In all ramparts,"Generalised to the three in the outermost enclosure (4-6 below), but there are also two into the citadel (1-2) and one into the annexe (3)",NA,See main summary,Simple Gap (North east); Simple Gap (South); Simple Gap (South west); Simple Gap (North); Simple Gap (North); Oblique (South),No,No
3283,"Bedrule, Scottish Borders",1.0,1.0,The entire circuit is ploughed down,NA,NA,See main summary,Simple Gap (West),No,No
3284,"Wells, Scottish Borders",1.0,1.0,Large sector of the perimeter missing,NA,NA,See main summary,Simple Gap (North east),No,No
3285,"Hassendean Bank, Scottish Borders",3.0,3.0,Levelled by cutlivation,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west); Simple Gap (South),No,No
3286,"Hassendean Bank, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3287,"Hassendean Bank, Scottish Borders",1.0,1.0,Whole circuit levelled by ploughing,NA,NA,See main summary,Simple Gap (East),No,No
3288,"Clarilaw Hill, Scottish Borders",0.0,0.0,The whole circuit is heavily degraded,Not known,NA,None known,NA,No,No
3289,"Court Hill, Scottish Borders",3.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (West),No,No
3290,"Forest Bank, Staffordshire",-1.0,-1.0,NA,NA,NA,The location of entrances is not recorded,NA,No,No
3291,"Newhouses, Scottish Borders",2.0,0.0,Broken by the road at two places,Probably on the line of the road on the NE or SW,NA,See main summary,NA,No,No
3292,"Bonchester Bridge, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
3293,"Bonchester Hill, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Passage-way/Corridor (North east),No,No
3294,"Bonchester Hill, Scottish Borders",19.0,12.0,NA,"Multiple entrances and gaps through the inner and outer circuits, but with little evidence of any relationships between them",NA,See main summary,In-turned (North); Oblique (East); Oblique (South west); Simple Gap (East); Simple Gap (North east); Simple Gap (South west); Simple Gap (North); Simple Gap (North east); Simple Gap (East); Simple Gap (West); Simple Gap (North west); Simple Gap (South),No,No
3295,"Billington Camp, Central Bedfordshire",-1.0,-1.0,NA,NA,NA,The location of entrances is not recorded,NA,No,No
3296,"Maiden Bower, Central Bedfordshire",5.0,1.0,NA,NA,NA,"Five breaks have been recorded around the circuit, with only a single break in the SE, 7m wide, considered to be original. Excavation revealed the western wall of a funnel-shaped timber gateway.",Passage-way/Corridor (South east),No,No
3297,"Caesar's Camp, Central Bedfordshire",3.0,2.0,NA,Uncertain,NA,A simple gap entrance lies in the SW which was damaged by landscaping for a house.  Possible entrance In the E slightly in-turned on the southern side and out-turned in the N (as depicted on 1884 OS mapping),Simple Gap (South west); In-turned (East); Out-turned (East),No,No
3298,"Galley Hill, Central Bedfordshire",3.0,1.0,NA,NA,NA,Three causeways are visible in the N where the ground is level and easily accessible. Two of these carry modern tracks but a break located 30m from the eastern end of the hillfort is most probably original,Other Forms (North),No,No
3299,"Mowsbury Hill, Central Bedfordshire (Mossbury)",1.0,0.0,NA,NA,NA,"The location of entrances is not recorded. The earthwork plan of Simco and Coleman (1986) show out-turned banks lying centrally in the E of the hillfort, but these are considered to be a recent feature",NA,No,No
3300,"Sandy Lodge Promontory Fort, Central Bedfordshire",1.0,1.0,NA,NA,NA,"An entrance lies In the NW, 20m from the eastern side of the spur surviving as a rounded ditch terminal and a relatively unworn causeway 10.3m wide. A single post-hole 0.6m in diameter, possibly for a gate was found at the northern end. The western side of the entrance along with the bank and ditch were quarried for sand in the 19th century and the causeway might have once been wider.",Simple Gap (North west),No,No
3302,"Kirkton Hill, Scottish Borders",0.0,0.0,NA,Not known,NA,See main summary,NA,No,No
3303,"Kinninghall Hill, Scottish Borders",2.0,2.0,Large sectors of the circuit have been flattened,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west),No,No
3304,"Kirkton Schoolhouse, Scottish Borders",2.0,2.0,Large sectors of the circuit are missing,NA,NA,See main summary,Simple Gap (South west); Oblique (South east),No,No
3305,"Kaim Law, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west),No,No
3306,"Castle Law, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west),No,No
3307,"Adderston Lee, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South),No,No
3308,"Colifort Hill, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3309,"Blackchester, Scottish Borders ('Roman Fort'; Camp Knowes)",1.0,1.0,Large sectors of the ramparts are heavily reduced,NA,NA,See main summary,Simple Gap (South west),No,No
3310,"Rowchester, Kippilaw Mains, Scottish Borders",1.0,1.0,Large sectors of the defences levelled,NA,NA,See main summary,Simple Gap (West),No,No
3311,"Chesterknowes, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South west),No,No
3312,"Belses Station, Scottish Borders (Rawflat; Fir View)",1.0,0.0,Modern break on the N,Not known but probably on the E,NA,See main summary,NA,No,No
3313,"South Minto Hill, Scottish Borders (Minto Hills)",1.0,1.0,NA,Position not recorded,NA,See main summary,NA,No,No
3314,"The Camp, Bolnhurst, Bedford (Manor Farm Hillfort)",-1.0,-1.0,NA,NA,NA,The location if entrances is not recorded,NA,No,No
3315,"Sharpenhoe Clappers, Central Bedfordshire",1.0,1.0,NA,NA,NA,A 4-5m wide entrance in the western rampart marked by two large post holes,Simple Gap (West),No,No
3316,"Ivinghoe Beacon, Buckinghamshire (Beacon Hill)",1.0,1.0,NA,NA,NA,"Probable entrance lies in the eastern corner at the easiest line of ascent, marked by a slight lowering and in-turning of the banks and the lack of a ditch in this area.",In-turned (East),No,No
3317,"Craddock's Camp, Central Bedfordshire",0.0,0.0,NA,NA,NA,The location of entrances is not recorded,NA,No,No
3318,"Rock Plantation, Scottish Borders (Chester Craig)",0.0,0.0,NA,None known,NA,See main summary,NA,No,No
3319,"Minto Craigs, Scottish Borders (Fatlips Castle)",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3320,"Raperlaw, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3321,"Boosmill Hill, Scottish Borders",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3322,"Riddell, Scottish Borders",3.0,3.0,The whole circuit is levelled,NA,NA,See main summary,Oblique (North); Simple Gap (North east); Simple Gap (West),No,No
3323,"Willowbog Plantation, Scottish Borders",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3324,"Camp Plantations, Craigsford, Scottish Borders",1.0,1.0,Perimeter pretty well levelled,NA,NA,See main summary,Simple Gap (East),No,No
3325,"Easter Hill, Scottish Borders (Camp Plantation)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (South west),No,No
3326,"Camp Knowe, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3327,"Eildon Hill North, Scottish Borders",5.0,4.0,Fifth gap on the NNE was discounted by RCAHMS investigators in 1950,A fifth blocked entrance belongs to the earlier inner enclosure,NA,See main summary,Oblique (East); Simple Gap (South east); Oblique (South west); Simple Gap (West); Blocked (East),No,No
3328,"Newstead, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3329,"Huntly Burn, Scottish Borders",3.0,1.0,Several old trackways traverse the enclosure,NA,NA,See main summary,Simple Gap (North east),No,No
3330,"Quarry Hill, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3331,"Castlestead, Kaeside, Scottish Borders (Kaeside)",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3332,"Hareseat Wood, Scottish Borders",1.0,1.0,E sector has also been virtually levelled,NA,NA,See main summary,Simple Gap (South west),No,No
3333,"Huntlyburn House, Scottish Borders",2.0,2.0,The whole circuit is levelled,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3334,"Holydean, Scottish Borders",2.0,2.0,Whole circuit ploughed flat,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3335,"Ringan's Dean, Scottish Borders",0.0,0.0,Whole circuit ploughed flat,None known,NA,Not known,NA,No,No
3336,"Maughold Head, Garff",1.0,1.0,NA,NA,NA,Possible simple gap W entrance.,Simple Gap (West),No,No
3337,"Gob ny Garvain, Ballafayle, Garff (Rhaa Moaar (Great Fort); The Cashtal)",2.0,1.0,Circular hollow in inner bank now used for modern access into site.,"Probable entrance on NW, but unclear",NA,"No definite entrance visible, but undulations in banks could indicate entrance. Circular hollow in inner bank now used for modern access into site, could be site of original, but unclear.",Simple Gap (North west),No,No
3338,"Linglie, Scottish Borders",2.0,2.0,Large sector on the SE has been ploughed out,NA,NA,See main summary,Passage-way/Corridor (North east); Passage-way/Corridor (West),No,No
3340,"Hango Broogh, Rushen (Derby Fort)",2.0,-1.0,NA,Not defined.,NA,"Gaps on S and NW may be sites of possible entrances, but not defined.",NA,No,No
3342,"Langness Point, Rushen",1.0,1.0,NA,NA,NA,"Most W bank has a stone-faced entrance just S of its middle point, at 2.5m wide and out-turned for 3.5m.",Out-turned (West),No,No
3343,"Cass ny Hawin, Middle (Cas-Ny-Hawin; Jackdaw Harbour; Cashtal Rhunt)",1.0,1.0,NA,Possible.,NA,Possible gap on NW.,Simple Gap (North west),No,No
3344,"Milber Down, Coffinswell, Devon",3.0,3.0,NA,NA,NA,"Modern road, runs NW-SE splitting up the site, and presumably going through two entrances to the two inner enclosures of the fort. It is possible that the entrance to the third enclosure, and indeed the main gate into the site, lies just N of the road, where rampart stops 10m away and low parallel banks flanking slight hollow way lead down through the fourth enclosure, funnelling access from the NW and location of nearest water supply, the Aller Brook.",Simple Gap (North west); Simple Gap (South east); Hollow Way (North west),No,No
3345,"Denbury Camp, Devon",3.0,1.0,NE gap possibly modern track.,NA,NA,Steeply sloping inturned W entrance. NE gap possibly modern track. Possible entrance break through outer bank only on SW.,In-turned (West); Simple Gap (South west),No,No
3346,"Prestonbury Castle, Devon",3.0,3.0,NA,NA,NA,E entrance nearly lines up with entrance of middle and second rampart downhill. Third and outer rampart has fine inturned entrance on NE.,Simple Gap (East); Simple Gap (East); In-turned (North east),No,No
3347,"Cranbrook Castle, Devon",2.0,2.0,NA,NA,NA,"Entrances to E and SW, latter slightly inturned.",Simple Gap (East); In-turned (South west),No,No
3348,"Wooston Castle, Devon",4.0,3.0,Modern gap through third rampart W of entrance.,Entrances damaged by modern access.,NA,"Hollow way runs N, with entrance through each of second, third and fourth ramparts. Entrances damaged by modern access and modern gap through third rampart W of entrance.",Hollow Way (North west); In-turned (North west); Hollow Way (North west); Oblique (North west); Hollow Way (North),No,No
3349,"Hembury Castle, Devon",4.0,1.0,"Modern gaps on SE, W and NNW.",NA,NA,"SE entrance gaps through both ramparts with causeway across ditch. Modern gaps on SE, W and NNW, with modern track across interior through SE and NNW. Entrance had possible timber tower linked to surrounding palisade and gave access to River Dart.",Simple Gap (South east),No,No
3350,"Blackbury Castle, Devon (Blackbury Camp)",4.0,1.0,"Three modern entrances, each with causeway.",NA,NA,"Interesting S entrance with barbican, with three modern entrances, each with causeway. Two substantial postholes possibly gate support evidence. Excavation suggests barbican secondary to main enclosure.",Barbican (South),No,No
3351,"Dumpdon Camp, Devon",2.0,1.0,Modern track through banks on NNW.,NA,NA,Entrance on NE with substantial inturns to inner bank to give 20m passage and appears to curve to N through outer rampart with 7m wide causeway. Modern track through banks on NNW.,In-turned (North east),No,No
3352,"Hembury, Payhembury, Devon",2.0,2.0,NA,NA,NA,"Entrances near NE apex and to WSW. That to N has distinct inturns and approach from N crosses middle and outer banks obliquely. W entrance has hollow way which runs obliquely through all, three ramparts. On S side of entrance inner bank joined by two banks in 'cross-ridge' fashion, but extensive excavations have blurred matters here.",In-turned (North east); Oblique (North east); Hollow Way (West); Oblique (West),No,No
3353,"Woodbury Castle, Devon",6.0,4.0,"Two modern gaps to main enclosure to SE, SW.",NA,NA,"Entrances badly damaged with B3180 passing through main enclosure entrances to N and W. Evidence of revetting at N entrance. Modern gaps to main enclosure to SE, SW. Entrances through both N and S outworks.",Simple Gap (North); Simple Gap (West); Simple Gap (North); Outworks (North); Out-turned (South); Outworks (South),No,No
3354,"Cadbury Castle, Cadbury, Devon",2.0,2.0,NA,NA,NA,Inturned entrance to inner and original enclosure on E side facing SE. Entrance to Phase 2 on SE with inturn on W side and blocking of original ditch inside so forcing those entering site to turn right and follow the ditch and enter inner enclosure finally through original Phase I entrance.,In-turned (East); In-turned (South east),No,No
3355,"Holne Chase Castle, Devon",3.0,2.0,"That on NE apex modern track, those on SE and SW original.",NA,NA,"Three breaches to rampart. That on NE apex modern track, those on SE and SW original. SE has simple passage 5m wide through defences, with SW terminal turning inward. Erosion from track cause two slight scarps flanking passage in interior. Similar 5m passage entrance on SW, but disturbed by quarrying. Simple terminal to ditch on NW, but very stony rampart has sharp inturn; terminal and ditch on S much disturbed and counterscarp modified as a result.",In-turned (South east); Passage-way/Corridor (South east); In-turned (South west); Passage-way/Corridor (South west),No,No
3356,"Berry's Wood, Devon (Berry Down; The Warren)",5.0,2.0,Three definite modern gaps.,The date of entrance at NW apex uncertain.,NA,"Two entrances. To E, approached by broad hollow way 0.5m-1.5m deep, extending for short way into interior. Second entrance at NW apex, also approached by hollow way to 0.9m deep, with S side cut through or uses natural outcropping rock break. Possible that this may be later, but uncertain. Three other approaches into site modern.",Hollow Way (East); Hollow Way (North west),No,No
3357,"Hunter's Tor Camp, Devon",1.0,1.0,NA,Long entrance through all three circuits.,NA,"Entrance to interior through all three circuits on SE. Simple causewayed passage through outer, then middle banks inturned sharply to form 25m passageway and so though inner circuit and into interior of fort, forming one long entrance.",Simple Gap (South east); Passage-way/Corridor (South east); In-turned (South east),No,No
3358,"Nattadon Common, Chagford, Devon",0.0,0.0,NA,NA,NA,None defined.,NA,No,No
3359,"Shoulsbury Castle, Devon (Shoulsbarrow Castle; Shaulsbury)",2.0,2.0,NA,NA,NA,"Entrance possibly in centre of W side, with causeway over ditch. Possible blocked entrance 35m N of SE corner",Simple Gap (West); Blocked (South east),No,No
3360,"White Hill, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (North east); Simple Gap (North west),No,No
3361,"Shaw Craigs, Scottish Borders",2.0,2.0,NA,Entrances at either end of the main fort,NA,See main summary,Simple Gap (North east); Simple Gap (North east); Simple Gap (South west),No,No
3362,"Southdean Law, Scottish Borders",1.0,1.0,The NE sector is virtually obliterated by the late Iron Age settlement,NA,NA,See main summary,Simple Gap (East),No,No
3363,"Highlee Hill, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (South west),No,No
3364,"Gardom's Edge, Derbyshire (Megwalls)",6.0,4.0,NA,NA,NA,"Six breaks, 2m wide and approximately 40-60m apart have been recorded around the circuit, some have been framed with large stones and large earthfast slabs.  Four of the entrances are considered original (Ainsworth and Barnatt 1998, 10) and two were later blocked.",Simple Gap (East); Simple Gap (East); Simple Gap (East); Simple Gap (East),No,No
3365,"Tamshiel Rig, Scottish Borders",0.0,0.0,NA,Not known,NA,See main summary,NA,No,No
3366,"Scraesburgh, Scottish Borders",1.0,0.0,Large gap on the SE where levelled by cultivation,Not visible,NA,See main summary,NA,No,No
3367,"Howden, Scottish Borders",1.0,1.0,Whole circuit ploughed down,NA,NA,See main summary,Simple Gap (South west),No,No
3368,"Dunion Hill, Scottish Borders (The Dunion)",8.0,4.0,It is not possible to quantify all the breaks that may have existed in all the ramparts,These represent the broader gaps identified on Rideout's overall plan in the perimeter of the inner enclosures (3-4 & 7-8); at least two can be identified in the incomplete outer line (1-2).,NA,See main summary,Simple Gap (North); Simple Gap (East); Simple Gap (North); Simple Gap (East); Simple Gap (North west); Simple Gap (North west); Simple Gap (North west); Simple Gap (West),No,No
3369,"Gilliestongues, Scottish Borders",2.0,2.0,The ends of the southern ramparts have been ploughed out,NA,NA,See main summary,Simple Gap (North); Simple Gap (South),No,No
3370,"Todlaw Wells, Scottish Borders",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3371,"Edgerston, Scottish Borders (The Camps)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (East),No,No
3372,"Faw Hill, Scottish Borders",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3373,"Iron Castle, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
3374,"Bowshothill, Scottish Borders",0.0,0.0,NA,None known,NA,Not known,NA,No,No
3375,"Doorpool Hill, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3376,"Peniel Heugh, Scottish Borders",3.0,2.0,Through all defences,"Two into the later fort (1-2), and one identified in the earlier fort (3)",NA,See main summary,Simple Gap (North); Simple Gap (South); Simple Gap (North east),No,No
3377,"Crag Wood, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
3378,"Little Trowpenny, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
3379,"Howden, Scottish Borders",0.0,0.0,NA,"Not known, although a causeway across the outlying ditch is visible on the NE",NA,See main summary,NA,No,No
3380,"Mount Ulston, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3381,"Crailing Orchard, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
3382,"Castle Hill, Scottish Borders (Ale Water)",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3383,"Harden Burn, Monklaw, Scottish Borders",2.0,2.0,The greater part of the circuit is ploughed flat,NA,NA,See main summary,Simple Gap (East); Simple Gap (West),No,No
3384,"Worm Rig, Scottish Borders",0.0,0.0,NA,Not known,NA,Not known,NA,No,No
3385,"Lantonhill Craigs, Scottish Borders (Lantoncraigs)",1.0,1.0,NA,Though RCAHMS investigators speculated there may have been a second on the NE,NA,See main summary,Simple Gap (South west),No,No
3386,"Lantoncraigs, Scottish Borders",1.0,1.0,Large sector at the SW end ploughed flat,NA,NA,See main summary,Simple Gap (North east),No,No
3387,"Ancrum, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South east),No,No
3388,"Kilbury Camp, Central Bedfordshire",-1.0,-1.0,NA,NA,NA,The location of entrances is unknown,NA,No,No
3389,"Harestanes, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3390,"Chestershall, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3391,"Lantonhall, Scottish Borders",0.0,0.0,NA,None known,NA,None known,NA,No,No
3392,"Sweethope Hill, Scottish Borders (Stichill)",4.0,3.0,NA,Generalised to the three in the outer rampart of the inner enclosure; a single entrance is visible in the outer enclosure,NA,See main summary,Simple Gap (North east); Simple Gap (North east); Oblique (South east); Oblique (West),No,No
3393,"Laird's Hill, Scottish Borders",1.0,1.0,No trace of an inner rampart survives anywhere on the circuit,NA,NA,See main summary,Other Forms (East),No,No
3394,"Ringleyhall, Scottish Borders (The Camps; Ringlyhall)",1.0,1.0,A large sector on the N has been destroyed by erosion along the river bank,NA,NA,See main summary,Simple Gap (South east),No,No
3395,"The Law, Scottish Borders",0.0,0.0,NA,Not known,NA,None known,NA,No,No
3396,"Brox Law, Scottish Borders (River Tweed)",1.0,1.0,Whole circuit ploughed down,NA,NA,See main summary,Simple Gap (North east),No,No
3397,"Littledean Fort, Scottish Borders (Littledean Tower)",1.0,1.0,All the earthworks are ploughed flat,NA,NA,See main summary,Simple Gap (South west),No,No
3398,"Cratcliff Rocks, Derbyshire",1.0,1.0,NA,NA,NA,"A simple gap in the NE sector, which appears slightly in-turned, is possibly an entrance.",Simple Gap (North east),No,No
3399,"Hambledon Hill, Dorset",3.0,3.0,NA,NA,NA,"Three entrances, simple gap N largely destroyed by a quarry, sited on very steep slope. That on SW sited on local rise in ground level, inturned ramparts dipping away from it on either side, and approached from E along shoulder of the slope within hornwork 76m long. Third entrance, on SE, not situated on the neck of spur, but some distance to N where faces into steep coombe. Consists of simple gap through inturned ramparts and integrated with SE outworks. Attempts to strengthen defences involved moving the  approach nearer to the shoulder of the slope and eventually on to a ledge below the shoulder.",Simple Gap (North); In-turned (South west); Hornwork (South west); In-turned (South east); Outworks (South east),No,No
3400,"Hophills Nob, Scottish Borders",3.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
3401,"Hownam Rings, Scottish Borders",3.0,3.0,Large sectors have been modified and reduced,NA,NA,See main summary,Blocked (South); Simple Gap (South); Oblique (South west); Simple Gap (North),No,No
3402,"Thowliestane Hill, Scottish Borders (Kale Water; Beirstane)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (South east),No,No
3403,"Raddon Hill, Devon",1.0,1.0,Estimated.,Estimated.,NA,Possible W entrance.,Simple Gap (West),No,No
3404,"Little Rough Law, Scottish Borders (The Yett)",3.0,2.0,NA,Generalised to two into the fort (1-2); another provides access into the annexe,NA,See main summary,Simple Gap (South east); Simple Gap (North west); Simple Gap (North east),No,No
3405,"Chatto Craig, Scottish Borders (Upper Chatto)",2.0,1.0,NA,NA,NA,See main summary,Simple Gap (North west); Hollow Way (North west),No,No
3406,"Cunzierton Hill, Scottish Borders",3.0,3.0,NA,NA,NA,See main summary,Hornwork (North east); Simple Gap (South east); Hollow Way (South east); Hornwork (South west),No,No
3407,"The Law, Scottish Borders",3.0,3.0,Large sectors of the perimeter have been effectively levelled,NA,NA,See main summary,Passage-way/Corridor (North east); Simple Gap (South); Simple Gap (North west),No,No
3408,"Woden Law, Scottish Borders (Woden Law, 'Siege Works')",7.0,3.0,NA,"Generalised into three at most stages of the evolution, but with different configurations and positions in the separate circuits. Three additional gaps in the outer belt of 'investing' works are included, on the grounds that these form part of the entrance architecture of the fort",NA,See main summary,Simple Gap (North east); Oblique (North east); Over-lapping (East); Blocked (East); Oblique (East); Oblique (South east); Simple Gap (South west); Over-lapping (South west); Simple Gap (South west); Oblique (South west); Simple Gap (North east); Simple Gap (South east); Blocked (South west),No,No
3409,"Clovelly Dykes, Devon",4.0,4.0,NA,NA,NA,Inner enclosure entrance to E. Second enclosure entrances to E and SE. Outer enclosure has curving overlapped entrance to N.,Simple Gap (East); Simple Gap (East); Simple Gap (South east); Over-lapping (North),No,No
3410,"Stanshiel Hill, Scottish Borders",0.0,0.0,NA,Not known,NA,See main summary,NA,No,No
3411,"Moat Knowe, Buchtrig, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Oblique (North); Over-lapping (North); Hollow Way (North); Hornwork (South),No,No
3412,"Loddan Hill, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (West),No,No
3413,"Hindhope Hill, Scottish Borders",2.0,2.0,NA,In addition there are two gaps in the outwork on the E,NA,See main summary,Simple Gap (East); Simple Gap (North west),No,No
3414,"Huntfold Hill, Scottish Borders",2.0,2.0,NA,NA,NA,See main summary,Simple Gap (East); Oblique (East); Simple Gap (West),No,No
3415,"Stoney Law, Scottish Borders (Stont Law; Brundeanlaws; Oxnam Water)",1.0,1.0,NA,NA,NA,See main summary,Simple Gap (North east),No,No
3416,"Heugh Law, Scottish Borders",3.0,1.0,Later breaches on the ENE and NW,NA,NA,See main summary,Simple Gap (East),No,No
3417,"Linton Hill, Scottish Borders",1.0,1.0,Whole circuit has been heavily reduced,NA,NA,See main summary,Simple Gap (South east),No,No
3418,"Morebattle, Scottish Borders",1.0,1.0,NA,NA,NA,See main summary,Oblique (East),No,No
3419,"Morebattle Hill, Scottish Borders",1.0,1.0,NA,By default on the NNE,NA,See main summary,Other Forms (North east),No,No
