References_Atlas_Number,References_Title_Name,References_Source,References_Citation
3047,"SC3047 Rait, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3047,"SC3047 Rait, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3048,"SC3048 Over Durdie, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3049,"SC3049 Hill of Dores, Perth & Kinross",Ordnance Survey n.d.,"Name Book, Ordnance Survey Object Name Books (6 inch and 1/2500 scale); available http"
3049,"SC3049 Hill of Dores, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3049,"SC3049 Hill of Dores, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3050,"SC3050 Mains of Hallyburton, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3051,"SC3051 Dron Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3055,"IR3055 Capard, Laois",Sweetman et al. 1995,"Sweetman, D, Alcock, O and Moran, B (1995) Archaeological Inventory of County Laois._The Stationary Office, Dublin."
3057,"NI3057 Magheraknock, Down",null,An Archaeological Survey of County Down. HMSO
3059,"IR3059 Clenagh, Clare",Westropp 1913,"Westropp, T. 1913. Types of ring-forts remaining in eastern Clare (Clonlara, Broadford, Cullaun, and Clooney). Proceedings of the Royal Irish Academy 32 C, 58 - 77."
3059,"IR3059 Clenagh, Clare",Grogan 2005,"Grogan, E. 2005. The North Munster Project Vol. 1"
3060,"IR3060 Curragh, Cork",Power 1994,"Power, D. 1994. Archaeological Inventory of County Cork, Vol. 2"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Alcock 1981,"Alcock, L (1981) 'Early historic fortifications in Scotland'. In Guilbert, G (ed.) Hill-fort studies"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Brown 1872,"Brown, T (1872) 'Notes relating to Dunsinnane Hill'. Proc Soc Antiq Scot 9 (1870-72), 378-80"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Cotton 1954,"Cotton, M A (1954) 'British camps with timber-laced ramparts'. Archaeol J 111 (1954), 26-105 (p 83)"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Hearns 2011,"Hearns, D (2011) 'Dunsinnan Hill, Perth and Kinross (Collace parish), casual find'. Disc Exc Scot, New Ser, 12 (2011), 146"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Pennant 1776,"Pennant, T (1776) A Tour in Scotland; MDCCLXXII (2). London"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Playfair 1819,"Playfair, J (1819) Description of Scotland Edinburgh"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Robertson 1799,"Robertson, J (1799) General view of the agriculture of the county of Perth with observations on the means of its improvement, drawn up for the consideration of the Board of Agriculture and Internal Improvement. Perth"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Williams 1777,"Williams, J (1777) An account of some remarkable ancient ruins, lately discovered in the highlands and northern parts of Scotland"
3062,"SC3062 Dunsinane Hill, Perth & Kinross",Wise 1856,"Wise, T A (1856) 'Notice of recent excavations in the hill fort of Dunsinane, Perthshire'. Proc Soc Antiq Scot 2 (1855-56), 93-9"
3063,"SC3063 Barry Hill, Perth & Kinross",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3063,"SC3063 Barry Hill, Perth & Kinross",Cotton 1954,"Cotton, M A (1954) 'British camps with timber-laced ramparts'. Archaeol J 111 (1954), 26-105 (p 83-4)"
3063,"SC3063 Barry Hill, Perth & Kinross",Feachem 1963,"Feachem, R (1963) A guide to prehistoric Scotland. Batsford"
3063,"SC3063 Barry Hill, Perth & Kinross",Macfarlane 1906,"Macfarlane, W (1906-8) Geographical collections relating to Scotland, in Mitchell, A and Clark, J T 3v Edinburgh"
3063,"SC3063 Barry Hill, Perth & Kinross",Mackenzie 1857,"Mackenzie, G (1857) 'Description of Barry Hill, near Alyth'. Archaeologia Scotica, 4 (1857), 184-6"
3063,"SC3063 Barry Hill, Perth & Kinross",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy.
3063,"SC3063 Barry Hill, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3063,"SC3063 Barry Hill, Perth & Kinross",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3065,"IR3065 Howth, Dublin",Westropp 1922,"Westropp, T. 1922. The promontory forts and adjoining remains in Leinster part 1. Journal of the Royal Society of Antiquaries of Ireland 52, 52-76."
3066,"SC3066 Auchterhouse, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3066,"SC3066 Auchterhouse, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3068,"SC3068 Dundee Law, City of Dundee",Boyd 1964,"Boyd, J D (1964) 'Dundee Law'. Disc Exc Scot (1964, 1"
3068,"SC3068 Dundee Law, City of Dundee",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3068,"SC3068 Dundee Law, City of Dundee",Driscoll 1993,"Driscoll, S T (1993) 'Dundee Law (Dundee parish)"
3068,"SC3068 Dundee Law, City of Dundee",Driscoll 1995,"Driscoll, S T (1995) 'Excavations on Dundee Law, 1993'. Proc Soc Antiq Scot 125 (1995), 1091-1108"
3068,"SC3068 Dundee Law, City of Dundee",Rideout 1990,"Rideout, J S (1990) 'Dundee Law (Dundee parish), fort'. Disc Exc Scot (1990), 39"
3068,"SC3068 Dundee Law, City of Dundee",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3068,"SC3068 Dundee Law, City of Dundee",Warden 1880,"Warden, A J (1880-5) Angus or Forfarshire"
3069,"SC3069 Auchray, Angus",Warden 1880,"Warden, A J (1880-5) Angus or Forfarshire"
3069,"SC3069 Auchray, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3070,"SC3070 Hurly Hawkin, Angus",Jervise 1866,"Jervise, A (1866) 'Account of excavations at Hurley Hawkin, near Dundee'. Proc Soc Antiq Scot 6 (1864-6), 210-14"
3070,"SC3070 Hurly Hawkin, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1958,"Taylor, D B (1958) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1958), 2"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1959,"Taylor, D B (1959) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1959), 1"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1960,"Taylor, D B (1960) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1960), 3"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1961,"Taylor, D B (1961) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1961), 5"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1962,"Taylor, D B (1962) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1962), 2"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1963,"Taylor, D B (1963) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1963), 1"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1964,"Taylor, D B (1964) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1964), 2"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1965,"Taylor, D B (1965) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1965), 3-4"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1966,"Taylor, D B (1966) 'Hurley Hawkin, Liff and Benvie'. Disc Exc Scot (1966), 2"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1967,"Taylor, D B (1967) 'Hurly Hawkin, Liff and Benvie"
3070,"SC3070 Hurly Hawkin, Angus",Taylor 1982,"Taylor, D B (1982) 'Excavations of a promontory fort, broch and souterrain at Hurly Hawkin, Angus'. Proc Soc Antiq Scot 112 (1982), 215-53"
3071,"SC3071 The Welton, Perth & Kinross",Maxwell 1987,"Maxwell, G S (1987) 'Settlement in southern Pictland"
3071,"SC3071 The Welton, Perth & Kinross",RCAHMS 1994,RCAHMS (1994) The Royal Commission on the Ancient and Historical Monuments of Scotland. South-east Perth
3072,"SC3072 Denoon Law, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3072,"SC3072 Denoon Law, Angus",Feachem 1963,"Feachem, R W (1963) Guide to prehistoric Scotland. Batsford"
3072,"SC3072 Denoon Law, Angus",Gordon 1726,"Gordon, A (1726) Itinerarium Septentrionale"
3072,"SC3072 Denoon Law, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3073,"SC3073 Kinpurney Hill, Angus",Feachem 1966,"Feachem, R W (1966) 'The hill-forts of northern Britain'. In Rivet, A L F (ed) The iron age in northern Britain. Edinburgh University Press"
3073,"SC3073 Kinpurney Hill, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3074,"SC3074 Castle Hill, Meams, Angus",Warden 1880,"Warden, A J (1880-5) Angus or Forfarshire"
3075,"SC3075 Loch Kinord, Aberdeenshire",Michie 1910,"Michie, J G (1910) Loch Kinnord"
3075,"SC3075 Loch Kinord, Aberdeenshire",Ogston 1931,"Ogston, A (1931) The prehistoric antiquities of the Howe of Cromar. (Simpson, W D ed) Third Spalding Club"
3075,"SC3075 Loch Kinord, Aberdeenshire",Stratigos 2015,Stratigos. M (2015) 'Excavation at the Gardiebane Peninsula. https
3075,"SC3075 Loch Kinord, Aberdeenshire",Stuart 1868,"Stuart, J (1868) 'Notice of a group of artificial islands in the Loch of Dowalton, Wigtonshire, and of other artificial islands or ""Crannogs"" throughout Scotland'. Proc Soc Antiq Scot 6 (1864-66), 114-78"
3076,"SC3076 Dumbarrow Hill, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3076,"SC3076 Dumbarrow Hill, Angus",Ordnance Survey n.d.,"Name Book, Ordnance Survey Object Name Books (6 inch and 1/2500 scale); available http"
3076,"SC3076 Dumbarrow Hill, Angus",Warden 1880,"Warden, A J. (1880-5) Angus or Forfarshire"
3079,"SC3079 Dunnichen, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3079,"SC3079 Dunnichen, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3080,"SC3080 Elliot Water, Angus",Crawford 1949,"Crawford, O G S (1949) Topography of Roman Scotland north of the Antonine Wall. Cambridge"
3080,"SC3080 Elliot Water, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3081,"SC3081 Laws of Monifieth, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3081,"SC3081 Laws of Monifieth, Angus",Cotton 1954,"Cotton, M A (1954) 'British camps with timber-laced ramparts'. Archaeol J 111 (1954), 26-105 (p 66-7)"
3081,"SC3081 Laws of Monifieth, Angus",Feachem 1963,"Feachem, R W (1963) Guide to prehistoric Scotland. Batsford"
3081,"SC3081 Laws of Monifieth, Angus",Jamieson 1834,"Jamieson, J. (1834) 'On the vitrified forts of Scotland'. Trans Roy Soc Literature 2 (1834), 227-51"
3081,"SC3081 Laws of Monifieth, Angus",MacKie 2007,"MacKie, E W. (2007) The Roundhouses, Brochs and Wheelhouses of Atlantic Scotland c.700 BC-AD 500"
3081,"SC3081 Laws of Monifieth, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3081,"SC3081 Laws of Monifieth, Angus",Neish 1859,"Neish, J. (1859) Reference notes to plan and views of ancient remains on the summit of the Laws, Forfarshire'. Proc Soc Antiq Scot 3 (1857-59), 440-54."
3081,"SC3081 Laws of Monifieth, Angus",Neish 1864,"Neish, J. (1864) Further notice of explorations on the Hill of Laws, Forfarshire'. Proc Soc Antiq Scot 5 (1862-64), 321-2."
3081,"SC3081 Laws of Monifieth, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3081,"SC3081 Laws of Monifieth, Angus",Stuart 1859,"Stuart, J. (1859) Notes on Mr Neish's paper'. Proc Soc Antiq Scot 3 (1857-59), 447-54."
3082,"SC3082 Craig Hill, Angus",MacKie 2007,"MacKie, E W. (2007) The Roundhouses, Brochs and Wheelhouses of Atlantic Scotland c.700 BC-AD 500"
3082,"SC3082 Craig Hill, Angus",Steer 1957,"Steer, K A. (1957) Craighill, Angus'. Disc Exc Scot (1957), 39."
3083,"SC3083 Finavon, Angus",Alexander 2002,"Alexander, D. (2002) An oblong fort at Finavon, Angus"
3083,"SC3083 Finavon, Angus",Alexander 1999,"Alexander, D. (1999) Finavon Hill (Oathlaw parish), hillfort survey'. Disc Exc Scot (1999), 14"
3083,"SC3083 Finavon, Angus",Childe 1935,"Childe, V G. (1935) Excavations of the vitrified fort of Finavon, Angus' Proc Soc Antiq Scot 69 (1934-5), 49-80."
3083,"SC3083 Finavon, Angus",Childe 1936,"Childe, V G. (1936) (1) Carminnow Fort; (2) Supplementary excavations at the vitrified fort of Finavon, Angus; and (3) some Bronze Age vessels from Angus'. Proc Soc Antiq Scot 70 (1935-6), 341-56."
3083,"SC3083 Finavon, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3083,"SC3083 Finavon, Angus",Cotton 1954,"Cotton, M A. (1954) British camps with timbered-laced ramparts'. Archaeol J 111 (1954), 26-105"
3083,"SC3083 Finavon, Angus",Feachem 1963,"Feachem, R. (1963) A guide to prehistoric Scotland. Batsford"
3083,"SC3083 Finavon, Angus",Jamieson 1822,"Jamieson, J (1822) 'An account of some remains of antiquity in Forfarshire. Archaeologia Scotica 2 (1822, 14-30)"
3083,"SC3083 Finavon, Angus",Jamieson 1834,"Jamieson, J. (1834) 'On the vitrified forts of Scotland'. Trans Roy Soc Literature 2 (1834), 227-51"
3083,"SC3083 Finavon, Angus",MacKie 1966,"MacKie, E W (1966) Finavon vitrified fort'. Disc Exc Scot (1966), 2-3."
3083,"SC3083 Finavon, Angus",MacKie 1967,"MacKie, E W. (1967) Oathlaw"
3083,"SC3083 Finavon, Angus",MacKie 1969,"MacKie, E W. (1969) Radiocarbon dates and the Scottish Iron Age'. Antiquity 43 (1969), 15-26."
3083,"SC3083 Finavon, Angus",MacKie 1976,"MacKie, E W (1976) 'The vitrified forts of Scotland', in Harding, D W (ed) Hillforts"
3083,"SC3083 Finavon, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3083,"SC3083 Finavon, Angus",Sanderson et al. 1988,"Sanderson, Placido and Tate, D C W, F and J O. (1988) Scottish vitrified forts"
3083,"SC3083 Finavon, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3083,"SC3083 Finavon, Angus",Williams 1777,"Williams, J. (1777) An account of some remarkable ancient ruins, lately discovered in the highlands and northern parts of Scotland"
3084,"SC3084 Turin Hill, Angus",Alexander 1998,"Alexander, D. (1998) Turin Hill (Aberlemno parish), hillfort, ring-forts and quarries'. Disc Exc Scot (1998), 11-12"
3084,"SC3084 Turin Hill, Angus",Alexander and Ralston n.d.,"Alexander, D. & Ralston, I. 'Survey work on Turin Hill, Angus', Tayside Fife Archaeol Journ, 5, 36-49."
3084,"SC3084 Turin Hill, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3084,"SC3084 Turin Hill, Angus",Feachem 1955,"Feachem, R (1955) 'Fortifications'. 66-86 in Wainwright, F T (ed.) (1955) The problem of the Picts, Studies in History and Archaeology. Edinburgh"
3084,"SC3084 Turin Hill, Angus",Feachem 1963,"Feachem, R. (1963) A guide to prehistoric Scotland. Batsford"
3084,"SC3084 Turin Hill, Angus",NSA 1834,NSA (1834-1845) The new statistical account of Scotland by the ministers of the respective parishes under the superintendence of a committee of the society for the benefit of the sons and daughters of the clergy. Edinburgh.
3084,"SC3084 Turin Hill, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3084,"SC3084 Turin Hill, Angus",Wainwright 1956,"Wainwright, F T. (1956) Turin Hill, Aberlemno and Rescobie parishes'. Disc Exc Scot (1956), 3"
3085,"SC3085 Brown Caterthun, Angus",Christison 1898,"Christison, D (1898) Early fortifications in Scotland"
3085,"SC3085 Brown Caterthun, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3085,"SC3085 Brown Caterthun, Angus",Dunwell and Strachan 1995,"Dunwell and Strachan, A J and R (1995) 'Brown Caterthum (Menmuir parish), hillfort survey and excavation'. Disc Exc Scot (1995), 94-96"
3085,"SC3085 Brown Caterthun, Angus",Dunwell and Strachan 1996,"Dunwell and Strachan, A J and R (1996) 'Brown Caterthun (Menmuir parish), excavations'. Disc Exc Scot (1996), 13"
3085,"SC3085 Brown Caterthun, Angus",Dunwell and Strachan 2007,"Dunwell and Strachan, A J and R (2007) Excavations at Brown Caterthun and White Caterthun Hillforts, Angus, 1995-1997. TAFAC Monograph 5. Tayside and Fife Archaeological Committee"
3085,"SC3085 Brown Caterthun, Angus",Feachem 1963,"Feachem, R W. (1963) Guide to prehistoric Scotland. Batsford"
3085,"SC3085 Brown Caterthun, Angus",Ralston 1982,"Ralston, I B M. (1982) 'Brown Caterhun Fort (Menmuir p), bank , ditch'. Disc Exc Scot (1982), 30."
3085,"SC3085 Brown Caterthun, Angus",Warden 1880,"Warden, A J. (1880-5) Angus or Forfarshire"
3086,"SC3086 Mains of Edzell, Angus",Hamilton 1998,"Hamilton, J. (1998) 'Mains of Edzell (Edzell parish), excavation'. Disc Exc Scot (1998), 13-14"
3086,"SC3086 Mains of Edzell, Angus",Strachan et al. 2003,"Strachan, R J, Hamilton, J E and Dunwell, A J (2003) ' Excavations of cropmark enclosures in Angus at Mains of Edzell and Hawkhill, Lunan. Tayside Fife Archaeol J 9 (2003), 32-64"
3087,"SC3087 White Caterthun, Angus",Christison 1898,"Christison, D (1898) Early fortifications in Scotland"
3087,"SC3087 White Caterthun, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3087,"SC3087 White Caterthun, Angus",Dunwell and Strachan 2007,"Dunwell and Strachan, A J and R (2007) Excavations at Brown Caterthun and White Caterthun Hillforts, Angus, 1995-1997. TAFAC Monograph 5. Tayside and Fife Archaeological Committee"
3087,"SC3087 White Caterthun, Angus",Feachem 1963,"Feachem, R W. (1963) Guide to prehistoric Scotland. Batsford"
3087,"SC3087 White Caterthun, Angus",Gordon 1726,"Gordon, A (1726) Itinerarium Septentrionale"
3087,"SC3087 White Caterthun, Angus",Kenworthy 1980,"Kenworthy, J B (1980) 'White Caterthun (Menmuir p)"
3087,"SC3087 White Caterthun, Angus",Warden 1880,"Warden, A J. (1880-5) Angus or Forfarshire"
3087,"SC3087 White Caterthun, Angus",Sherriff 1982,"Sherriff, J R. (1982) 'Survey'. Disc Exc Scot (1982), 30-32"
3087,"SC3087 White Caterthun, Angus",St Joseph 1974,"St Joseph, J K (1974) 'Air reconnaissance"
3087,"SC3087 White Caterthun, Angus",Strachan and Hamilton 1997,"Strachan and Hamilton, R and J (1997) 'White Caterthum (Menmuir parish), hillfort'. Disc Exc Scot (1997), 15-16"
3088,"EN3088 Borough Fen, Peterborough",French 1988,"French, C. 1988. The South-West Fen Dyke Survey Project. Antiquity, 62, 343-8."
3088,"EN3088 Borough Fen, Peterborough",French and Pryor 1993,"French, C. and Pryor, F. 1993. The South-West Fen-dyke survey project 1982-1986. East Anglian Archaeolgy, 59."
3088,"EN3088 Borough Fen, Peterborough",Hall 1987,"Hall, D. 1987. The Fenland Project No. 2. Fenland landscape and settlement between Peterborough and March. East Anglian Archaeology 35, 26-28."
3088,"EN3088 Borough Fen, Peterborough",Malim and McKenna 1993,"Malim, T. and McKenna, R. 1993. Borough Fen Ring-work"
3088,"EN3088 Borough Fen, Peterborough",Malim 2005,"Malim, T. 2005. Stonea and the Roman Fens. Tempus."
3088,"EN3088 Borough Fen, Peterborough",Oswald 1994,"Oswald, A., 1994, The Iron Age enclosure at Borough Fen, Cambridgeshire"
3091,"SC3091 Elliot, Angus",Cameron et al. 2007,"Cameron, Rees, Dunwell and Anderson, K, A, A and S (2007) 'Prehistoric pits, Bronze Age roundhouses, and Iron Age promontory enclosure, Early Historic cist burials and medieval enclosures along the route of the A92, Dundee to Arbroath'. Tayside Fife Archaeol J 14 (2007), 39-74"
3091,"SC3091 Elliot, Angus",Rees and Cameron 1998,"Rees and Cameron, A R and K (1998) 'A92 road improvement"
3091,"SC3091 Elliot, Angus",Rees and Cameron 2000,"Rees and Cameron, A R and K (2000) 'A92 road improvement"
3092,"SC3092 Prail Castle, Angus",Carrie 1881,"Carrie, J (1881) Ancient Things in Angus"
3092,"SC3092 Prail Castle, Angus",Cumming 1848,"Cumming, G (Publisher) (1848) Forfarshire Illustrated. Dundee"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1963,"Wilson, E M (Mrs J) (1963) 'West Mains of Ethie, Inverkeilor'. Disc Exc Scot (1963), 4"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1964,"Wilson, EM (Mrs J) (1964) 'West Mains of Ethie, Inverkeilor'. Disc Exc Scot (1964), 2-3."
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1965,"Wilson, E M (Mrs J) (1965) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1966,"Wilson, E M (Mrs J) (1966) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1967,"Wilson, E M (Mrs J) (1967) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1968,"Wilson, E M (Mrs J) (1968) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1969,"Wilson, E M (Mrs J) (1969) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1970,"Wilson, E M (Mrs J) (1970) 'West Mains of Ethie, Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1971,"Wilson, E M (Mrs J) (1971) 'Inverkeilor"
3093,"SC3093 West Mains of Ethie, Angus",Wilson 1981,"Wilson, E M (1981) 'Excavations at West Mains of Ethie, Angus'. Proc Soc Antiq Scot 110 (1978-80), 114-21"
3093,"SC3093 West Mains of Ethie, Angus",Wilson and Wilson 1961,"Wilson, J & E M (1961) 'West Mains of Ethie and Redhead'. Disc Exc Scot (1961), 3"
3093,"SC3093 West Mains of Ethie, Angus",Wilson and Wilson 1962,"Wilson, J & E M (1962) 'West Mains of Ethie, Inverkeilor'. Disc Exc Scot (1962), 2-3"
3094,"SC3094 Maiden Castle, East Seaton, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3095,"SC3095 Castle Rock, Auchmithie, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3095,"SC3095 Castle Rock, Auchmithie, Angus",Gardner 1970,"Gardner, D A (1970) 'Auchmithie"
3095,"SC3095 Castle Rock, Auchmithie, Angus",Ralston 1987,"Ralston, I (1987) 'The Arbroath Antiquary Club's excavations at Castle Rock promontory fort, Auchmithie, Arbroath and St Vigeans, Angus District'. Proc Soc Antiq Scot 116 (1986), 101-15"
3096,"EN3096 Ridgeon's Gardens, Castle Hill, Cambridgeshire",Alexander and Pullinger 1999,"Alexander, J. and Pullinger, J. 1999. Roman Cambridge"
3097,"EN3097 Marion's Close, Cambridge, Cambridgeshire",Mortimer and Evans 1997,"Mortimer, R. and Evans, C. 1997. The Marion Close enclosure"
3098,"SC3098 Lud Castle, Angus",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3098,"SC3098 Lud Castle, Angus",Coutts 1970,"Coutts, H. (1970) Ancient monuments of Tayside. Dundee"
3099,"SC3099 Buckiemill, Angus",Sherriff 1986,"Sherriff, J R. (1986) 'Buckiemill (Lunan p)"
3100,"SC3100 Whiting Ness, Angus",Benvie 1993,"Benvie, R (1993) 'Whiting Ness (Arbroath & St Vigeans parish)"
3100,"SC3100 Whiting Ness, Angus",Benvie 1995,"Benvie, R. (1995) 'Whiting Ness (Arbroath & St Vigeans parish), stone drain'. Disc Exc Scot (1995), 92"
3100,"SC3100 Whiting Ness, Angus",Sinclair 1791,Stat Acct (date) Statistical Account of Scotland
3101,"SC3101 Green Cairn, Cairnton of Balbegno, Aberdeenshire",Cameron 1899,Cameron A C (1899) The History of Fettercairn
3101,"SC3101 Green Cairn, Cairnton of Balbegno, Aberdeenshire",Chalmers 1807,"Chalmers, G. (1807) Caledonia"
3101,"SC3101 Green Cairn, Cairnton of Balbegno, Aberdeenshire",Christison 1900,"Christison, D (1900) 'The forts, ""camps"", and other field-works of Perth, Forfar and Kincardine'. Proc Soc Antiq Scot 34 (1899-1900), 43-120"
3101,"SC3101 Green Cairn, Cairnton of Balbegno, Aberdeenshire",Feachem 1963,"Feachem, R. (1963) A guide to prehistoric Scotland. Batsford"
